Publisher,Time,Author,Language,Title
udv,"August 5, 2013",David Badger,German,Sudoku 16 x 16 Band 8 (German Edition)
udv,"August 5, 2013",David Badger,German,Sudoku 16 x 16 Band 9 (German Edition)
Rowohlt Taschenbuch Verla,,Elizabeth Bowen,German,In der Hitze des Tages
Campus Verlag GmbH,,Jani Pietsch,German,»Ich besaß einen Garten in Schöneiche bei Berlin«
Suhrkamp,"November 1, 2003",Peter Sloterdijk,German,"Sphären, Kt., Bd.1, Blasen"
CreateSpace Independent Publishing Platform,"February 28, 2015",Alexandra Dannenmann,German,"Klein Hasi - Was ich alles kann, Little Bunny - I Can... - Bilderbuch Deutsch-Englisch (zweisprachig/bilingual) (Klein Hasi - Little Bunny, ... (Volume 1) (German Edition)"
Books on Demand,"December 22, 2017",Martin Westenberger,German,Anmerkungen Zum Sonnenstand (German Edition)
Duncker &amp; Humblot,,Detlef Liebs,German,Die Jurisprudenz im spätantiken Italien (260-640 n. Chr.) (Freiburger rechtsgeschichtliche Abhandlungen) (German Edition)
CreateSpace Independent Publishing Platform; 1 edition,"September 9, 2017",Mary King,German,Erste 100 Wesentliche Worter: Kompakte Auflage (German Edition)
Bärenreiter,,Wolfgang Amadeus Mozart,German,"Mozart: Violin Concerto No. 4 in D Major, K. 218 [Bärenreiter]"
LÃƒÂ¼bbe,,Rita Berman,German,Mein Winterspaziergang
De Gruyter,"November 1, 1991",Paul Tillich,German,Der Mut Zum Sein (German Edition)
"Farrar, Straus and Giroux; Bilingual edition edition","December 2, 2014",Pierre Joris,German,Breathturn into Timestead: The Collected Later Poetry: A Bilingual Edition (German Edition)
"Aschendorff, Münster","January 1, 1981",Gerhard Krüger,Ancient Greek,Von der Überwindung der Angst.
Independently published,"March 3, 2018",Friedrich Nietzsche,German,Also sprach Zarathustra (German Edition)
Jazzybee Verlag,"April 28, 2016",Karl Simrock,German,Das Nibelungenlied (German Edition)
CreateSpace Independent Publishing Platform; 2 edition,"February 14, 2018",Franz Kafka,German,Die Verwandlung (German Edition)
Suhrkamp Verlag,,Marcus Braun,German,Armor Roman
Kiepenheuer &amp; Witsch Gmbh,,Volker Kutscher,German,Der stumme Tod
Bärenreiter,,Wolfgang Amadeus Mozart,German,"Mozart: Clarinet Concerto in A Major, K. 622"
"Peter Lang GmbH, Internationaler Verlag der Wissenschaften; 1 edition",,Ralph Trost,German,Vom Umgang mit Helden: Das Museum Nibelungen(h)ort Xanten- Bestandsaufnahme und Museumskatalog (German Edition)
Ludwig Buchverlag,,Peter Wohlleben,German,Das geheime Leben der Bäume
"Links Verlag, 2011",,Rolf-Dieter Müller,German,Der Feind steht im Osten
Evangelische Verlagsanstalt; 2 edition,,Hermann von Lips,German,Timotheus und Titus: Unterwegs fuer Paulus (Biblische Gestalten) (German Edition)
Independently published,"August 27, 2017",Talia Moritz,German,Lana Beck und der Tote im Maisfeld: Lana Becks erster Fall (German Edition)
DuMont Buchverlag,,Udo Kultermann,German,Zeitgenössische Architektur in Osteuropa (DuMont Dokumente) (German Edition)
Mohr Siebeck,,Folker Siegert,French,Nag-Hammadi-Register: Worterbuch Zur Erfassung Der Begriffe in Den Koptisch-Gnostischen Schriften Von Nag-Hammadi Mit Einem Deutschen Index ... Zum Neuen Testament) (French Edition)
Kiepenheuer &amp; Witsch,"January 1, 1987",Wilhelm Reich,German,Die Entdeckung des Orgons I. Die Funktion des Orgasmus.
CreateSpace Independent Publishing Platform,"October 24, 2014",Johann Wolfgang von Goethe,German,Goethes Faust: Der Tragödie erster Teil mit 55 Illustrationen von  bedeutenden Künstlern des 19. Jahrhunderts (German Edition)
