Publisher,Time,Author,Language,Title
Gallup Press; 1st edition,"January 6, 2009",Tom Rath,English,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow"
Portfolio,"February 27, 2018",Ryan Holiday,English,"Conspiracy: Peter Thiel, Hulk Hogan, Gawker, and the Anatomy of Intrigue"
Confidence Project Press; Jou edition,"December 19, 2017",Mel Robbins,English,"The 5 Second Journal: The Best Daily Journal and Fastest Way to Slow Down, Power Up, and Get Sh*t Done"
"Penguin Books; Updated, Revised edition","May 3, 2011",Roger Fisher,English,Getting to Yes: Negotiating Agreement Without Giving In
Box of Crayons Press,"February 29, 2016",Michael Bungay Stanier,English,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever"
Portfolio,"September 5, 2017",Simon Sinek,English,Find Your Why: A Practical Guide for Discovering Purpose for You and Your Team
Thomas Nelson; Revised &amp; Updated edition,"September 18, 2007",John C. Maxwell,English,The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You (10th Anniversary Edition)
Riverhead Books; Reprint edition,"September 27, 2016",Elizabeth Gilbert,English,Big Magic: Creative Living Beyond Fear
North River Press; 30th Anniversary Edition edition,"June 1, 2014",Eliyahu M. Goldratt,English,The Goal: A Process of Ongoing Improvement
G. P. Putnam's Sons; 1 edition,"September 8, 1998",Spencer Johnson,English,Who Moved My Cheese?: An Amazing Way to Deal with Change in Your Work and in Your Life
Riverhead Books,"April 5, 2011",Daniel H. Pink,English,Drive: The Surprising Truth About What Motivates Us
Sound Wisdom; Original First Edition 1937 edition,"December 13, 2016",Napoleon Hill,English,"Think and Grow Rich: The Original, an Official Publication of The Napoleon Hill Foundation"
Penguin Books; Revised edition,"March 17, 2015",David Allen,English,Getting Things Done: The Art of Stress-Free Productivity
Vanguard Press; Csm edition,"October 2, 2012",Darren Hardy,English,The Compound Effect
Portfolio; 1 edition,"May 1, 2014",Ryan Holiday,English,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph
William Morrow; 1 edition,"May 5, 2015",Ken Blanchard,English,The New One Minute Manager
Wiley; 1 edition,"April 26, 2011",Grant Cardone,English,The 10X Rule: The Only Difference Between Success and Failure
Simon &amp; Schuster; Reissue edition,"November 3, 2009",Dale Carnegie,English,How To Win Friends and Influence People
Free Press; Reprint edition,"April 12, 2016",Chris McChesney,English,The 4 Disciplines of Execution: Achieving Your Wildly Important Goals
FaithWords,"October 10, 2017",T. D. Jakes,English,Soar!: Build Your Vision from the Ground Up
Wiley; 2 edition,"October 16, 2017",John C. Bogle,English,The Little Book of Common Sense Investing: The Only Way to Guarantee Your Fair Share of Stock Market Returns (Little Books. Big Profits)
CreateSpace Independent Publishing Platform; 1 edition,,Andrew Aziz,English,"How to Day Trade for a Living: A Beginner’s Guide to Trading Tools and Tactics, Money Management, Discipline and Trading Psychology"
Grand Central Publishing; 1 edition,"January 5, 2016",Cal Newport,English,Deep Work: Rules for Focused Success in a Distracted World
Portfolio; 32661st edition,"November 10, 2011",Matthew Dixon,English,The Challenger Sale: Taking Control of the Customer Conversation
