Publisher,Time,Author,Language,Title
Sonoma Press,"September 20, 2016",Jennifer Lang MD,English,The Whole 9 Months: A Week-By-Week Pregnancy Nutrition Guide with Recipes for a Healthy Start
Medinform Publishing; Revised &amp; enlarged edition,,Natasha Campbell-McBride,English,"Gut and Psychology Syndrome: Natural Treatment for Autism, Dyspraxia, A.D.D., Dyslexia, A.D.H.D., Depression, Schizophrenia"
"Little, Brown and Company; 1 edition","February 20, 2018",Lauren Slater,English,Blue Dreams: The Science and the Story of the Drugs that Changed Our Minds
Grand Central Life &amp; Style; 1 edition,"June 4, 2013",Marla Heller,English,"The Everyday DASH Diet Cookbook: Over 150 Fresh and Delicious Recipes to Speed Weight Loss, Lower Blood Pressure, and Prevent Diabetes (A DASH Diet Book)"
Baker Books; Reprint edition,"August 4, 2015",Dr. Caroline Leaf,English,"Switch On Your Brain: The Key to Peak Happiness, Thinking, and Health"
McGraw-Hill Education / Medical; 9 edition,,Tao Le,English,"First Aid for the USMLE Step 2 CK, Ninth Edition (First Aid USMLE)"
HarperOne; Reissue edition,"March 15, 1996",Marianne Williamson,English,"A Return to Love: Reflections on the Principles of ""A Course in Miracles"""
"Newtrends Publishing, Inc.; 2nd Revised edition",,Sally Fallon,English,Nourishing Traditions: The Cookbook that Challenges Politically Correct Nutrition and Diet Dictocrats
Workman Publishing Company; Csm edition,"October 3, 2017",Irene Smit,English,A Book That Takes Its Time: An Unhurried Adventure in Creative Mindfulness (Flow)
Van Patten Publishing; 5 edition,"February 1, 2006",Jorge Cervantes,English,Marijuana Horticulture: The Indoor/Outdoor Medical Grower's Bible
Grand Central Life &amp; Style,"March 6, 2018",David Ludwig,English,"Always Delicious: Over 175 Satisfying Recipes to Conquer Cravings, Retrain Your Fat Cells, and Keep the Weight Off Permanently"
Plume; Revised edition,"May 1, 1999",David D. Burns,English,The Feeling Good Handbook
Hazelden Publishing; 2 edition,"February 11, 2005",Bill P.,English,Drop the Rock: Removing Character Defects - Steps Six and Seven
Workman Publishing Company; 1st Edition edition,"September 25, 2012",Nancy Linde,English,"399 Games, Puzzles & Trivia Challenges Specially Designed to Keep Your Brain Young."
Hachette Books; 10 edition,"January 5, 2005",Jon Kabat-Zinn,English,"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life"
Avery; 1 edition,"September 2, 2014",Ann Crile Esselstyn,English,"The Prevent and Reverse Heart Disease Cookbook: Over 125 Delicious, Life-Changing, Plant-Based Recipes"
Wellness Unmasked Publishing; 1st Edition edition,"June 15, 2007",Bradley Nelson,English,The Emotion Code
FREE PRESS; Reprint edition,"February 5, 2008",Stephen M .R. Covey,English,The SPEED of TRUST: The One Thing That Changes Everything
Rodale Books; 1 edition,"December 2, 2014",Dave Asprey,English,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life"
Simon &amp; Schuster; Reprint edition,"August 8, 2017",Robert Wright,English,Why Buddhism is True: The Science and Philosophy of Meditation and Enlightenment
Princeton Review; Csm edition,"August 1, 2017",Princeton Review,English,"Cracking the AP Psychology Exam, 2018 Edition: Proven Techniques to Help You Score a 5 (College Test Preparation)"
Penguin Books; 1 edition,"June 24, 2014",Emily Oster,English,Expecting Better: Why the Conventional Pregnancy Wisdom Is Wrong--and What You Really Need to Know
Johns Hopkins University Press; sixth edition edition,,Nancy L. Mace,English,"The 36-Hour Day, sixth edition: The 36-Hour Day: A Family Guide to Caring for People Who Have Alzheimer Disease, Other Dementias, and Memory Loss (A Johns Hopkins Press Health Book)"
Bantam; Reprint edition,"November 23, 2004",Tara Brach,English,Radical Acceptance: Embracing Your Life With the Heart of a Buddha
"Ballantine Books; Revised, Updated edition","July 13, 2010",Diane Wiessinger,English,The Womanly Art of Breastfeeding: Completely Revised and Updated 8th Edition
Grand Central Life &amp; Style; 5 edition,"September 25, 2012",Nancy L. Mace,English,"The 36-Hour Day: A Family Guide to Caring for People Who Have Alzheimer Disease, Related Dementias, and Memory Loss"
Basic Books; 3 edition,"November 30, 1996",Alice Miller,English,"The Drama of the Gifted Child: The Search for the True Self, Revised Edition"
Wiley; 5 edition,,L. Mark Peterson,English,The Complete Adult Psychotherapy Treatment Planner: Includes DSM-5 Updates
