Publisher,Time,Author,Title,ID
Scribner; Media Tie-In edition,05/17/09,Stephen King,It: A Novel,69
HarperCollins Narnia; Media Tie In edition,10/19/10,C. S. Lewis,Chronicles of Narnia Box Set,70
Scribner; First Edition edition,03/17/10,Jennifer Egan,Manhattan Beach: A Novel,71
Speak; Platinum ed. edition,4/20/06,S. E. Hinton,The Outsiders,72
Knopf,3/13/18,Alan Hollinghurst,The Sparsholt Affair,73
Del Rey,9/25/12,J.R.R. Tolkien,The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the,74
Vintage; Reprint edition,02/17/05,Yaa Gyasi,Homegoing,75
"Farrar, Straus and Giroux; 1st Edition edition",2/20/18,Marilynne Robinson,What Are We Doing Here?: Essays,76
Penguin Books; Reissue edition,12/16/03,William Golding,Lord of the Flies,77
Delacorte Press,3/20/18,Danielle Steel,Accidental Heroes: A Novel,78
Random House Trade Paperbacks; Media Tie In edition,11/21/17,Caleb Carr,The Alienist (TNT Tie-in Edition): A Novel,79
Delacorte Press,06/18/03,Karen Marie Moning,High Voltage (Fever),80
Vintage,6/18/15,E L James,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),81
Alfred A. Knopf; Reprint edition,2007/9/11,Markus Zusak,The Book Thief,82
Gallery/Scout Press; Reprint edition,11/17/04,Ruth Ware,The Woman in Cabin 10,83
Houghton Mifflin Harcourt; 1 edition,2003/6/1,George Orwell,Animal Farm: 1984,84
Baen,02/18/10,David Weber,Uncompromising Honor (Honor Harrington),85
HarperOne; Reprint edition,4/21/15,C. S. Lewis,The Screwtape Letters,86
Random House,2/13/18,Amy Bloom,White Houses: A Novel,87
Penguin Books; Reissue edition,9/1/93,John Steinbeck,Of Mice and Men,88
Harper Perennial; Reprint edition,10/17/06,Aldous Huxley,Brave New World,89
Berkley; Reprint edition,11/15/08,Liane Moriarty,Big Little Lies,90
Feiwel &amp; Friends,06/18/03,Daniel Kraus,The Shape of Water,91
"Little, Brown and Company",4/30/18,James Patterson,The 17th Suspect (Women's Murder Club),92
William Morrow,2/20/18,Laura Lippman,Sunburn: A Novel,93
Adam Gasiewski,1/18/18,Adam Gasiewski,Milk and Vine II,94
Harper; First Edition edition,10/17/17,Liv Constantine,The Last Mrs. Parrish: A Novel,95
