Publisher,Time,Author,Title,ID
DAW,06/18/03,Seanan McGuire,Tricks for Free (InCryptid),753
Anchor,3/31/09,Dan Brown,The Da Vinci Code,754
Vintage; Reprint edition,02/17/05,Nathan Hill,The Nix,755
Harper Perennial Modern Classics; Deluxe edition,10/27/09,Milan Kundera,The Unbearable Lightness of Being: A Novel,756
Orbit; Reprint edition,05/15/05,James S. A. Corey,Cibola Burn (The Expanse),757
Wilder Publications; 5 edition,4/19/12,Hannah Hurnard,Hinds Feet On High Places,758
Atria/Emily Bestler Books; 1st Edition edition,05/17/09,Vince Flynn,Enemy of the State (A Mitch Rapp Novel),759
"Tyndale House Publishers, Inc.; Gift edition",9/1/98,Francine Rivers,"Mark of the Lion : A Voice in the Wind, An Echo in the Darkness, As Sure As the Dawn (Vol 1-3)",760
"Farrar, Straus and Giroux; 59246th edition",2009/11/10,Joan Didion,The White Album: Essays (FSG Classics),761
William Morrow; First Edition edition,05/17/12,James Rollins,The Demon Crown: A Sigma Force Novel (Sigma Force Novels),762
Vintage; Reprint edition,6/28/16,Kent Haruf,Our Souls at Night (Vintage Contemporaries),763
BookShots,07/17/11,James Patterson,Manhunt: A Michael Bennett Story (BookShots),764
Penguin Books; Box edition,9/13/16,Craig Johnson,The Longmire Mystery Series Boxed Set Volumes 1-11: The First Eleven Novels,765
MIRA,3/13/18,Heather Graham,A Dangerous Game (New York Confidential),766
Atria/Emily Bestler Books,02/18/10,Vince Flynn,Red War (A Mitch Rapp Novel),767
Lake Union Publishing,01/18/03,Loretta Nyhan,Digging In: A Novel,768
Simon &amp; Schuster; Reprint edition,12/13/03,Hugh Howey,Wool,769
Delacorte Press; First Edition first Printing edition,11/28/17,Danielle Steel,Past Perfect: A Novel,770
Signet; Reissue edition,2012/7/3,Henry David Thoreau,Walden and Civil Disobedience,771
Grand Central Publishing; Reprint edition,06/17/06,Noah Hawley,Before the Fall,772
Grand Central Publishing; Reprint edition,11/14/17,James Patterson,Count to Ten: A Private Novel,773
MIRA; Reprint edition,2/20/18,Robyn Carr,Any Day Now (Sullivan's Crossing),774
Vintage Books,4/25/95,Michel Foucault,Discipline & Punish: The Birth of the Prison,775
Ecco; 1st Edition edition,06/18/02,Joyce Carol Oates,Beautiful Days: Stories,776
Del Rey,03/18/04,Kevin Hearne,Scourged (The Iron Druid Chronicles),777
CreateSpace Independent Publishing Platform,11/25/17,Mary Wollstonecraft Shelley,Frankenstein,778
Ace; Reprint edition,1/30/18,Patricia Briggs,Silence Fallen (A Mercy Thompson Novel),779
William Morrow Paperbacks; Reprint edition,5/17/16,Neal Stephenson,Seveneves,780
CreateSpace Independent Publishing Platform,11/21/17,Jane Austen,Pride and Prejudice,781
Del Rey; 1st edition,8/27/02,Terry Brooks,The Sword of Shannara Trilogy,782
"New Directions; Some Pages Turned Down, Name on Side edition",6/17/99,Tennessee Williams,The Glass Menagerie,783
Dial Press Trade Paperback; Reprint edition,2002/7/9,James A. Michener,The Source: A Novel,784
Central Avenue Publishing,2011/12/1,pleasefindthis,I Wrote This For You,785
Delacorte Press; First Edition edition,6/27/17,Diana Gabaldon,Seven Stones to Stand or Fall: A Collection of Outlander Fiction,786
Broadway Books; Reprint edition,06/18/03,Nina George,The Little French Bistro: A Novel,787
G.P. Putnam's Sons; Reprint edition,1/23/18,C. J. Box,Vicious Circle (A Joe Pickett Novel),788
Orbit,5/22/18,Andrzej Sapkowski,Season of Storms (The Witcher),789
Andrews McMeel Publishing,04/17/04,r.h. Sin,3: Whiskey Words & a Shovel III,790
Thomas &amp; Mercer,01/18/01,Gregg Olsen,The Last Thing She Ever Did,791
Harper Voyager; Reprint edition,10/20/94,Ursula K. Le Guin,The Dispossessed (Hainish Cycle),792
Vintage; Reprint edition,2/13/01,Patrick Suskind,Perfume: The Story of a Murderer,793
Zondervan; Large Print edition,11/15/16,Zondervan,"NIV, Journal the Word Bible, Large Print, Hardcover, Black: Reflect, Journal, or Create Art Next to Your Favorite Verses",794
St. Martin's Paperbacks; Reprint edition,02/18/01,J. D. Robb,"Secrets in Death: An Eve Dallas Novel (In Death, Book 45)",795
Wave Books; First Edition edition,2009/10/1,Maggie Nelson,Bluets,796
Bookouture,1/22/18,Lucy Dawson,The Daughter: A gripping psychological thriller with a twist you won_�t see coming,797
Knopf Books for Young Readers; 1st edition,4/20/98,Dr Seuss,Hooray for Diffendoofer Day!,798
Berkley,04/14/02,Susan Meissner,A Fall of Marigolds,799
Warner Books; Reissue edition,,Nicholas Sparks,The Guardian,800
Mariner Books; 1 edition,,Mary Oliver,A Poetry Handbook,801
CreateSpace Independent Publishing Platform,12/31/16,Bella Forrest,The Gender Game 3: The Gender Lie (Volume 3),802
Atria Books; 31992nd edition,2004/2/3,Shirley P. Glass,"Not ""Just Friends"": Rebuilding Trust and Recovering Your Sanity After Infidelity",803
G.P. Putnam's Sons,10/30/18,Jan Karon,"Bathed in Prayer: Father Tim's Prayers, Sermons, and Reflections from the Mitford Series",804
Image Comics; First Edition edition,3/25/14,Brian K Vaughan,"Saga, Vol. 3",805
Pocket Books; First Edition edition,1/24/06,Stephen King,"The Dark Tower V: The Wolves of the Calla (The Dark Tower, Book 5)",806
Lake Union Publishing,01/18/02,Ellie Monago,Neighborly: A Novel,807
Image Comics,02/13/07,Brian K. Vaughan,"Saga, Vol. 2",808
Random House; First Edition edition,3/31/15,Maya Angelou,The Complete Poetry,809
Simon &amp; Schuster; 1st edition,10/1/95,Michael Hague,The Children's Book of Virtues,810
Penguin Books; Translation edition,1/23/18,Ahmed Saadawi,Frankenstein in Baghdad: A Novel,811
MIRA,02/17/05,Bunmi Laditan,Confessions of a Domestic Failure: A Humorous Book About a not so Perfect Mom,812
Headline,05/16/04,Kathryn Hughes,The Letter,813
St. Martin's Paperbacks,2/27/18,Lora Leigh,Collision Point: A Brute Force Novel,814
Thomas &amp; Mercer,01/18/03,Lee Goldberg,True Fiction (Ian Ludlow Thrillers),815
G.P. Putnam's Sons; Premium edition,5/31/16,C. J. Box,Open Season (A Joe Pickett Novel),816
Mariner Books; Reissue edition,9/18/12,J.R.R. Tolkien,The Return of the King: Being the Third Part of the Lord of the Rings,817
Berkley; Reprint edition,8/28/07,Lee Child,Running Blind (Jack Reacher),818
Anchor; Reprint edition,2012/5/1,Dan Brown,The Lost Symbol,819
Tor Books,06/18/02,R. A. Salvatore,Child of a Mad God: A Tale of the Coven,820
Ballantine Books; Reprint edition,2012/4/3,Vanessa Diffenbaugh,The Language of Flowers: A Novel,821
Penguin Classics; Revised edition,12/31/02,Emily Brontë,Wuthering Heights (Penguin Classics),822
Viking,08/18/05,Deborah Harkness,"The World of All Souls: The Complete Guide to A Discovery of Witches, Shadow of Night, and The Book of Life (All Souls Trilogy)",823
W. W. Norton &amp; Company; 9 edition,,Robert S. Levine,"The Norton Anthology of American Literature (Ninth Edition)  (Vol. Package 2: Volumes C, D, E) (Norton Anthology of American Literature, package 2)",824
Mariner Books; 1 edition,9/24/90,Virginia Woolf,Mrs. Dalloway,825
Berkley,2/20/18,Miranda James,Claws for Concern (Cat in the Stacks Mystery),826
St. Helena Press,8/15/16,David Pepper,The People's House,827
Waterhouse Press,2/14/17,Helen Hardt,Burn (Steel Brothers Saga Book 5),828
Minotaur Books,10/18/07,Linda Castillo,A Gathering of Secrets: A Kate Burkholder Novel,829
Minotaur Books,1/30/18,Gregg Hurwitz,Hellbent: An Orphan X Novel,830
Vintage,6/29/93,Cormac McCarthy,"All the Pretty Horses (The Border Trilogy, Book 1)",831
Scribner; Reprint edition,4/15/08,Ursula  K. Le Guin,The Lathe Of Heaven: A Novel,832
Back Bay Books,,David Foster Wallace,Consider the Lobster and Other Essays,833
Penguin Press; 1st edition,11/16/10,Mary Oliver,Upstream: Selected Essays,834
Anchor; Reprint edition,10/1/95,Laura Esquivel,"Like Water for Chocolate: A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",835
Anchor; 1st Printing edition,06/14/05,Dan Brown,Inferno (Robert Langdon),836
CreateSpace Independent Publishing Platform,06/16/10,Jennae Cecelia,Uncaged Wallflower,837
Atria/Emily Bestler Books; Reprint edition,05/13/11,Jodi Picoult,The Storyteller,838
Puffin Books; 15630th edition,2004/4/12,Jane Yolen,The Devil's Arithmetic (Puffin Modern Classics),839
Kensington,9/26/17,Susan Holloway Scott,"I, Eliza Hamilton",840
Viking,09/18/01,Gregory Blake Smith,The Maze at Windermere: A Novel,841
Scribner,,C.S. Lewis,Out of the Silent Planet (Space Trilogy (Paperback)),842
Anchor Books; 1st edition,2/25/03,Ian McEwan,Atonement: A Novel,843
Vintage; Reprint edition,2009/8/11,Haruki Murakami,What I Talk About When I Talk About Running: A Memoir (Vintage International),844
"Hackett Publishing Company, Inc.",,Jackson Crawford,The Poetic Edda: Stories of the Norse Gods and Heroes (Hackett Classics),845
The Overlook Press; First Edition edition,03/17/10,Mark Helprin,Paris in the Present Tense: A Novel,846
MIRA,05/17/09,J.T. Ellison,Lie to Me: A Fast-Paced Psychological Thriller,847
Thomas &amp; Mercer; First Edition edition,01/17/07,Rachel Caine,Stillhouse Lake (Stillhouse Lake Series),848
Grove Press; Reprint edition,02/18/01,Viet Thanh Nguyen,The Refugees,849
Grand Central Publishing; Reprint edition,4/25/17,Michael Connelly,The Black Echo (A Harry Bosch Novel),850
Picador,9/24/13,Robin Sloan,Mr. Penumbra's 24-Hour Bookstore: A Novel,851
Sterling Children's Books; Illustrated edition,2012/3/6,Kenneth Grahame,The Wind in the Willows (Sterling Illustrated Classics),852
Scribner; 1 edition,,Alan Paton,"Cry, the Beloved Country",853
Pocket Books; Reissue edition,1/31/17,Stephen King,Pet Sematary: A Novel,854
HarperOne; Later Printing Used edition,11/23/10,Paulo Coelho,The Alchemist: A Graphic Novel (an illustrated interpretation of The Alchemist),855
Vintage; Reprint edition,2004/6/8,Toni Morrison,Sula,856
Atria/Emily Bestler Books; Reprint edition,6/16/15,Caroline Kepnes,You: A Novel,857
Del Rey; 2nd edition,1/12/85,J.R.R. Tolkien,The Silmarillion,858
Ballantine Books; Media Tie In edition,9/29/96,Bryce Courtenay,The Power of One: A Novel,859
BookShots,01/17/08,James Patterson,The Medical Examiner: A Women's Murder Club Story (BookShots),860
Harper Perennial; Reprint edition,06/16/09,Mary Karr,The Art of Memoir,861
Image Comics,12/23/14,Brian K. Vaughan,"Saga, Vol. 4",862
Eamon Dolan/Mariner Books; Reprint edition,5/24/16,P. W. Singer,Ghost Fleet: A Novel of the Next World War,863
Ballantine Books; Reprint edition,12/17/09,Jamie Ford,Love and Other Consolation Prizes: A Novel,864
Orbit; Reprint edition,10/16/05,James S. A. Corey,Nemesis Games (The Expanse),865
Ballantine Books; Reprint edition,10/30/12,Michael Crichton,The Lost World: A Novel (Jurassic Park),866
William Morrow,12/26/17,Greg Iles,Mississippi Blood: The Natchez Burning Trilogy,867
Pocket Books; Reissue edition,12/27/16,Stephen King,The Dark Tower IV: Wizard and Glass,868
Knopf Books for Young Readers,4/26/05,Christopher Paolini,"Eragon (Inheritance, Book 1)",869
St. Martin's Griffin; Reprint edition,08/13/01,Kristin Hannah,Home Front: A Novel,870
William Morrow Paperbacks; Reprint edition,2012/4/3,John Irving,A Prayer for Owen Meany: A Novel,871
Grand Central Publishing; Reprint edition,10/15/13,Michael Connelly,The Black Ice (Harry Bosch),872
Dell; Reprint edition,11/17/07,John Grisham,The Whistler: A Novel,873
Dover Publications; Reprint edition,,Oscar Wilde,The Picture of Dorian Gray (Dover Thrift Editions),874
Ballantine Books,10/18/04,Anne Perry,Twenty-one Days: A Daniel Pitt Novel,875
Sourcebooks Landmark; First Edition edition,07/15/07,Kelli Estes,The Girl Who Wrote in Silk,876
"Little, Brown and Company",03/18/04,Leslie Jamison,The Recovering: Intoxication and Its Aftermath,877
Image Comics,07/17/03,Robert Kirkman,The Walking Dead Volume 27: The Whisperer War,878
Howard Books; First Edition edition,07/17/11,Karen Kingsbury,In This Moment: A Novel,879
Story Warren Books; Special Edition edition,12/28/17,S. D. Smith,The Last Archer: A Green Ember Story,880
Vintage; Reprint edition,12/13/09,James Baldwin,Go Tell It on the Mountain (Vintage International),881
Hyperion; 1st edition,4/27/05,Fred Rogers,Life's Journeys According to Mister Rogers: Things to Remember Along the Way,882
Three Rivers Press; Reprint edition,9/27/16,Mindy Kaling,Why Not Me?,883
Grand Central Publishing; Reprint edition,3/13/18,James Patterson,Haunted (Michael Bennett),884
Scribner; Reprint edition,08/14/07,Ernest Hemingway,A Farewell to Arms: The Hemingway Library Edition,885
Penguin Compass; Gift edition,8/1/99,Hafiz,The Gift,886
QuickStudy; Bilingual edition,2005/1/1,Inc. BarCharts,Japanese Vocabulary (Quick Study Academic),887
Graywolf Press,07/17/03,Layli Long Soldier,WHEREAS: Poems,888
CreateSpace Independent Publishing Platform,9/21/17,Creative Notebooks,"Get Shit Done: 2018 Planner, Monthly, Weekly, Daily, Unicorn, January 2018 - December 2018",889
Mariner Books; Reprint edition,4/18/17,Monica Wood,The One-in-a-Million Boy,890
Oxford University Press; 1 edition,2004/4/8,Geraldine Pinch,"Egyptian Mythology: A Guide to the Gods, Goddesses, and Traditions of Ancient Egypt",891
Dover Publications; 1 edition,7/1/90,Joseph Conrad,Heart of Darkness (Dover Thrift Editions),892
Forever,06/18/03,Grace Burrowes,A Rogue of Her Own (Windham Brides),893
William Morrow Paperbacks,03/18/04,Stephanie Dray,My Dear Hamilton: A Novel of Eliza Schuyler Hamilton,894
Simon &amp; Schuster,02/17/05,Richard Paul Evans,The Broken Road: A Novel (The Broken Road Series),895
"Taylor Made Publishing, LLC",8/15/17,Juliet C,Secrets Of A Jewel,896
Random House Trade Paperbacks; Trade Paperback Edition edition,10/27/09,Maya Angelou,Letter to My Daughter,897
Penguin Classics; 1st edition,2/7/84,Sophocles,The Three Theban Plays: Antigone; Oedipus the King; Oedipus at Colonus,898
Riverhead Books; Reprint edition,03/14/06,Khaled Hosseini,And the Mountains Echoed,899
Andrews McMeel Publishing,10/24/17,Mariah Marsden,Anne of Green Gables: A Graphic Novel,900
Grove Press; Reprint edition,07/17/11,Emily Fridlund,History of Wolves: A Novel,901
Harper Perennial; Reprint edition,2/27/18,Jacqueline Winspear,In This Grave Hour: A Maisie Dobbs Novel,902
William Morrow Paperbacks; Reissue edition,2/20/18,Barbara Delinsky,Within Reach: A Novel,903
Dutton; Reprint edition,02/14/09,Nick Offerman,Paddle Your Own Canoe: One Man's Fundamentals for Delicious Living,904
Zondervan,3/21/17,Terri Blackstock,If I'm Found (If I Run Series),905
Button Poetry,3/28/17,Olivia Gatwood,New American Best Friend,906
Black Sparrow Press,5/31/02,Charles Bukowski,You Get So Alone at Times That It Just Makes Sense,907
Penguin Books; 1st edition,2008/10/7,Ken Follett,World Without End: A Novel (Kingsbridge),908
CreateSpace Independent Publishing Platform,09/17/02,Bella Forrest,The Gender Game 4: The Gender War (Volume 4),909
St. Martin's Griffin,05/16/04,Sylvia Day,One with You (Crossfire),910
HQN,2/27/18,Brenda Jackson,Best Laid Plans (Madaris Family Saga),911
Harper Perennial Modern Classics; Anniversary edition,11/21/06,Erich Fromm,The Art of Loving,912
HQ,11/16/02,B. A. Paris,Behind Closed Doors,913
Image Comics,9/15/15,Brian K. Vaughan,"Saga, Vol. 5",914
Penguin Books; Reprint edition,2011/6/7,John le Carré,"Tinker, Tailor, Soldier, Spy: A George Smiley Novel",915
Yen On,9/27/16,Kugane Maruyama,"Overlord, Vol. 2 - light novel",916
Urban Books,2/28/17,Ashley & JaQuavis,The Cartel,917
Urban Books,12/27/16,Ashley & JaQuavis,The Cartel 5: La Bella Mafia,918
Simon &amp; Schuster; Reprint edition,07/16/06,Alice Hoffman,The Marriage of Opposites,919
"Little, Brown and Company",06/18/02,Elizabeth Crook,The Which Way Tree,920
Harcourt Brace Jovanovich,5/3/78,Italo Calvino,Invisible Cities,921
TarcherPerigee; Reprint edition,10/27/03,Manly P. Hall,The Secret Teachings of All Ages (Reader's Edition),922
Knopf; 1st Edition edition,06/17/06,Arundhati Roy,The Ministry of Utmost Happiness: A novel,923
Gallery Books; Reprint edition,06/15/01,Stephen King,Mr. Mercedes: A Novel (The Bill Hodges Trilogy),924
Jenna Moreci,4/24/18,Jenna Moreci,The Savior's Champion (The Savior's Series),925
Yale University Press,01/16/11,Raymond Clemens,The Voynich Manuscript,926
Bantam,12/18/06,Laurie R. King,Island of the Mad: A novel of suspense featuring Mary Russell and Sherlock Holmes,927
Reagan Arthur / Back Bay Books; First Paperback Edition edition,2012/11/6,Eowyn Ivey,The Snow Child: A Novel,928
MIRA; Reprint edition,2/24/15,Mary Kubica,The Good Girl: An addictively suspenseful and gripping thriller,929
Harper Perennial; First Edition edition,10/17/17,Joseph Fink,It Devours!: A Welcome to Night Vale Novel,930
William Morrow Paperbacks; Reprint edition,04/15/08,Greg Iles,Natchez Burning: A Novel (Penn Cage),931
"Farrar, Straus and Giroux; Reprint edition",3/20/07,Jostein Gaarder,Sophie's World: A Novel About the History of Philosophy (FSG Classics),932
Anchor; Reprint edition,06/18/03,Alexander McCall Smith,My Italian Bulldozer: A Novel,933
MIRA; Reissue edition,1/30/18,Debbie Macomber,Looking for a Hero: Marriage Wanted,934
Broadway Books; 39501st edition,6/28/11,Charles Martin,The Mountain Between Us: A Novel,935
Grove Press; 1 edition,,Samuel Beckett,Waiting for Godot: A Tragicomedy in Two Acts,936
Penguin Books; Reprint edition,2012/9/4,Ken Follett,Fall of Giants: Book One of the Century Trilogy,937
Delacorte Press,1/16/18,Melanie Benjamin,The Girls in the Picture: A Novel,938
Sourcebooks Landmark; 1St Edition edition,7/15/14,Charles Belfoure,The Paris Architect: A Novel,939
Random House Trade Paperbacks; 1 edition,3/26/13,Rachel Joyce,The Unlikely Pilgrimage of Harold Fry: A Novel,940
Viking; 1st edition,05/17/09,Craig Johnson,The Western Star: A Longmire Mystery,941
Lake Union Publishing,01/16/08,Kerry Lonsdale,Everything We Keep: A Novel (The Everything Series),942
Breakneck Media,02/18/03,Jeremy Robinson,The Divide,943
Alice James Books,12/17/09,Kaveh Akbar,Calling a Wolf a Wolf,944
Simon &amp; Schuster; Reprint edition,6/20/17,Alain de Botton,The Course of Love: A Novel,945
Kensington,3/27/18,Fern Michaels,Sweet Vengeance,946
Bookouture,06/17/06,Jenny Hale,The Summer House: A gorgeous feel good romance that will have you hooked,947
Three Rivers Press; 1st edition,10/16/07,Max Brooks,World War Z: An Oral History of the Zombie War,948
"Farrar, Straus and Giroux",10/1/84,Roald Dahl,Roald Dahl's Book of Ghost Stories,949
HQN Books,10/18/07,Susan Mallery,When We Found Home,950
Dutton,09/18/01,Brad Taylor,Operator Down: A Pike Logan Thriller,951
G.P. Putnam's Sons; Reprint edition,2/27/18,Clive Cussler,The Cutthroat (An Isaac Bell Adventure),952
Princeton Review; Premium edition,01/17/08,Princeton Review,"Cracking the AP U.S. History Exam 2018, Premium Edition (College Test Preparation)",953
Simon &amp; Schuster; Reprint edition,10/20/15,Bill Browder,"Red Notice: A True Story of High Finance, Murder, and One Man_�s Fight for Justice",954
Knopf,1/30/18,Dave Eggers,The Monk of Mokha,955
Liveright; 1 edition,,Richard Rothstein,The Color of Law: A Forgotten History of How Our Government Segregated America,956
HarperOne; 1st Edition edition,2/27/18,N. T. Wright,Paul: A Biography,957
Vintage; Reprint edition,8/21/07,Lawrence Wright,The Looming Tower: Al-Qaeda and the Road to 9/11,958
Harper; 1st Edition edition,2/21/17,Yuval Noah Harari,Homo Deus: A Brief History of Tomorrow,959
Harper; 1st Edition edition,1/16/18,David Frum,Trumpocracy: The Corruption of the American Republic,960
Hill and Wang,1/16/06,Elie Wiesel,Night (Night),961
Knopf; 1 edition,11/13/03,Sheryl Sandberg,"Lean In: Women, Work, and the Will to Lead",962
Princeton Review; Premium edition,01/17/08,Princeton Review,"Cracking the AP World History Exam 2018, Premium Edition (College Test Preparation)",963
Harper Perennial Modern Classics; Reissue edition,,Howard Zinn,A People's History of the United States,964
Vintage,2/1/94,Truman Capote,In Cold Blood,965
Penguin Press,06/18/03,Ryan H. Walsh,Astral Weeks: A Secret History of 1968,966
Twelve; 1 edition,5/24/16,Sebastian Junger,Tribe: On Homecoming and Belonging,967
Riverhead Books,2/20/18,Joel Richard Paul,Without Precedent: Chief Justice John Marshall and His Times,968
Penguin Books,5/27/14,Daniel James Brown,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,969
Anchor Books; 1 edition,1/20/97,Jon Krakauer,Into the Wild,970
Penguin Press,1/16/18,Niall Ferguson,"The Square and the Tower: Networks and Power, from the Freemasons to Facebook",971
St. Martin's Press; First Edition edition,1/30/18,J. Randy Taraborrelli,"Jackie, Janet & Lee: The Secret Lives of Janet Auchincloss and Her Daughters, Jacqueline Kennedy Onassis and Lee Radziwill",972
Broadway Books,2011/3/8,Rebecca Skloot,The Immortal Life of Henrietta Lacks,973
Vintage,2004/2/10,Erik Larson,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",974
Knopf,2/27/18,John Banville,Time Pieces: A Dublin Memoir,975
Touchstone,10/13/15,Clint Emerson,"100 Deadly Skills: The SEAL Operative_�s Guide to Eluding Pursuers, Evading Capture, and Surviving Any Dangerous Situation",976
Vintage; Reprint edition,12/13/02,Jonathan Haidt,The Righteous Mind: Why Good People Are Divided by Politics and Religion,977
Free Press; 60840th edition,2/22/11,Gregory Boyle,Tattoos on the Heart: The Power of Boundless Compassion,978
William Collins; Reprint edition,10/16/05,Hyeonseo Lee,The Girl with Seven Names,979
Hachette Books,02/18/01,David Thibodeau,Waco: A Survivor's Story,980
Nation Books; Reprint edition,8/15/17,Ibram X. Kendi,Stamped from the Beginning: The Definitive History of Racist Ideas in America (National Book Award Winner),981
Pantheon,11/19/96,Art Spiegelman,The Complete Maus,982
Bantam; Reissue edition,6/1/93,Anne Frank,Anne Frank: The Diary of a Young Girl,983
Simon &amp; Schuster,2/13/18,Bart D. Ehrman,The Triumph of Christianity: How a Forbidden Religion Swept the World,984
Greyhound Press; 1 edition,07/17/04,Sun Tzu,The Art Of War,985
Barron's Educational Series; 7 edition,,John McCannon,"Barron's AP World History, 7th Edition",986
Penguin Books; Reprint edition,12/28/04,Steve Coll,"Ghost Wars: The Secret History of the CIA, Afghanistan, and Bin Laden, from the Soviet Invasion to September 10, 2001",987
Bloomsbury USA,2/27/18,Matt Young,Eat the Apple,988
Liveright; 1 edition,2/27/18,Adam Winkler,We the Corporations: How American Businesses Won Their Civil Rights,989
Random House,06/18/03,Robert D. Kaplan,"The Return of Marco Polo's World: War, Strategy, and American Interests in the Twenty-first Century",990
Grand Central Publishing; Reprint edition,05/17/09,Douglas Preston,The Lost City of the Monkey God: A True Story,991
Twelve; ISBN 9780446546928 edition,2010/3/3,Dave Cullen,Columbine,992
Yale University Press,09/18/01,Patrick J. Deneen,Why Liberalism Failed (Politics and Culture),993
Grand Central Publishing; First Edition edition,2/13/18,Andrew Morton,"Wallis in Love: The Untold Life of the Duchess of Windsor, the Woman Who Changed the Monarchy",994
Simon &amp; Schuster; 1st Edition edition,10/31/17,Chris Matthews,Bobby Kennedy: A Raging Spirit,995
Simon &amp; Schuster,11/14/17,Gregory Boyle,Barking to the Choir: The Power of Radical Kinship,996
Sentinel; First Edition edition,10/24/17,Brian Kilmeade,Andrew Jackson and the Miracle of New Orleans: The Battle That Shaped America's Destiny,997
Henry Holt and Co.; First Edition edition,9/19/17,Bill O'Reilly,Killing England: The Brutal Struggle for American Independence (Bill O'Reilly's Killing Series),998
Random House Trade Paperbacks; Reprint edition,02/18/01,Gary Noesner,Stalling for Time: My Life as an FBI Hostage Negotiator,999
Princeton Review; Csm edition,01/17/08,Princeton Review,"Cracking the AP European History Exam, 2018 Edition: Proven Techniques to Help You Score a 5 (College Test Preparation)",1000
Modern Library; 1St Edition edition,,Marcus Aurelius,Meditations: A New Translation,1001
Filiquarian; First Thus edition,,Sun Tzu,The Art Of War,1002
Chronicle Books,06/16/09,Ann Shen,Bad Girls Throughout History: 100 Remarkable Women Who Changed the World,1003
Broadway Books; Reprint edition,,Michael Isikoff,"Hubris: The Inside Story of Spin, Scandal, and the Selling of the Iraq War",1004
North Shadow Press; 1 edition,1/31/16,Ryan M Cleckner,Long Range Shooting Handbook,1005
Hachette Books; First Edition edition,10/17/10,Liza Mundy,Code Girls: The Untold Story of the American Women Code Breakers of World War II,1006
Random House Trade Paperbacks; Reprint edition,7/29/14,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",1007
William Morrow,06/18/03,Carl Hoffman,The Last Wild Men of Borneo: A True Story of Death and Treasure,1008
Simon &amp; Schuster; Hard Cover edition,12/17/09,Hillary Rodham Clinton,What Happened,1009
Pantheon; 1st Edition edition,2004/6/1,Marjane Satrapi,Persepolis: The Story of a Childhood (Pantheon Graphic Novels),1010
Grand Central Publishing; 10th Anniversary Revised &amp; Updated edition,2012/10/9,D. Michael Abrashoff,"It's Your Ship: Management Techniques from the Best Damn Ship in the Navy, 10th Anniversary Edition",1011
PublicAffairs,2/20/18,Gregg Easterbrook,It's Better Than It Looks: Reasons for Optimism in an Age of Fear,1012
Sourcebooks; Reprint edition,06/18/03,Kate Moore,The Radium Girls: The Dark Story of America's Shining Women,1013
Simon &amp; Schuster,2/13/18,Benn Steil,The Marshall Plan: Dawn of the Cold War,1014
Regnery History,2/20/18,Scott A. Huesing,Echo in Ramadi: The Firsthand Story of US Marines in Iraq's Deadliest City,1015
Liveright; 1 edition,09/18/01,Max Boot,The Road Not Taken: Edward Lansdale and the American Tragedy in Vietnam,1016
Tim Duggan Books; 1st edition,2/28/17,Timothy Snyder,On Tyranny: Twenty Lessons from the Twentieth Century,1017
Basic Books,4/28/15,Alfred Lansing,Endurance: Shackleton's Incredible Voyage,1018
Vintage; Reprint edition,2011/10/4,Isabel Wilkerson,The Warmth of Other Suns: The Epic Story of America's Great Migration,1019
Bombardier Books,07/18/08,Robert Spencer,The History of Jihad: From Muhammad to ISIS,1020
Chosen Books; 35th Anniversary edition,2006/1/1,Corrie Ten Boom,The Hiding Place,1021
Viking; First Edition edition,03/17/10,Eric Metaxas,Martin Luther: The Man Who Rediscovered God and Changed the World,1022
Third World Press; 3rd Revised ed. edition,,Chancellor Williams,Destruction of Black Civilization: Great Issues of a Race from 4500 B.C. to 2000 A.D.,1023
Vintage,11/16/17,Luke Harding,"Collusion: Secret Meetings, Dirty Money, and How Russia Helped Donald Trump Win",1024
Broadway Books; Reprint edition,06/18/03,Chris Whipple,The Gatekeepers: How the White House Chiefs of Staff Define Every Presidency,1025
William Morrow Paperbacks; Media Tie In edition,06/16/12,Margot Lee Shetterly,Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race,1026
Simon &amp; Schuster; 1st Edition edition,1/30/18,Mark Whitaker,Smoketown: The Untold Story of the Other Great Black Renaissance,1027
Broadway Books; 1st edition,9/14/04,Bill Bryson,A Short History of Nearly Everything,1028
Ecco,2/27/18,Andrew Friedman,"Chefs, Drugs and Rock & Roll: How Food Lovers, Free Spirits, Misfits and Wanderers Created a New American Profession",1029
DK Eyewitness Travel; Revised edition,2/21/17,DK Travel,DK Eyewitness Travel Guide: Japan,1030
Portfolio; 1 edition,5/16/13,L. David Marquet,Turn the Ship Around!: A True Story of Turning Followers into Leaders,1031
Spiegel &amp; Grau; Reprint edition,2011/1/11,Wes Moore,"The Other Wes Moore: One Name, Two Fates",1032
Back Bay Books; Revised edition,6/22/09,Dave Grossman,On Killing: The Psychological Cost of Learning to Kill in War and Society,1033
PublicAffairs; 1 edition,2/27/18,Radley Balko,The Cadaver King and the Country Dentist: A True Story of Injustice in the American South,1034
