Publisher,Time,Author,Title
Speak; Platinum ed. edition,04/20/06,S. E. Hinton,The Outsiders
Knopf,03/13/18,Alan Hollinghurst,The Sparsholt Affair
Del Rey,09/25/12,J.R.R. Tolkien,The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the
Vintage; Reprint edition,05/02/17,Yaa Gyasi,Homegoing
"Farrar, Straus and Giroux; 1st Edition edition",02/20/18,Marilynne Robinson,What Are We Doing Here?: Essays
Penguin Books; Reissue edition,12/16/03,William Golding,Lord of the Flies
Delacorte Press,03/20/18,Danielle Steel,Accidental Heroes: A Novel
Random House Trade Paperbacks; Media Tie In edition,11/21/17,Caleb Carr,The Alienist (TNT Tie-in Edition): A Novel
Delacorte Press,03/06/18,Karen Marie Moning,High Voltage (Fever)
Vintage,06/18/15,E L James,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series)
Alfred A. Knopf; Reprint edition,09/11/07,Markus Zusak,The Book Thief
Gallery/Scout Press; Reprint edition,04/11/17,Ruth Ware,The Woman in Cabin 10
Houghton Mifflin Harcourt; 1 edition,06/01/03,George Orwell,Animal Farm: 1984
Baen,10/02/18,David Weber,Uncompromising Honor (Honor Harrington)
HarperOne; Reprint edition,04/21/15,C. S. Lewis,The Screwtape Letters
Random House,02/13/18,Amy Bloom,White Houses: A Novel
Penguin Books; Reissue edition,09/01/93,John Steinbeck,Of Mice and Men
Harper Perennial; Reprint edition,10/17/06,Aldous Huxley,Brave New World
Berkley; Reprint edition,08/11/15,Liane Moriarty,Big Little Lies
Feiwel &amp; Friends,03/06/18,Daniel Kraus,The Shape of Water
"Little, Brown and Company",04/30/18,James Patterson,The 17th Suspect (Women's Murder Club)
William Morrow,02/20/18,Laura Lippman,Sunburn: A Novel
Adam Gasiewski,01/18/18,Adam Gasiewski,Milk and Vine II
Harper; First Edition edition,10/17/17,Liv Constantine,The Last Mrs. Parrish: A Novel
Scholastic Paperbacks,09/11/01,J.K. Rowling,Harry Potter and the Prisoner of Azkaban
Simon &amp; Schuster,02/06/18,Lisa Halliday,Asymmetry: A Novel
Scholastic Paperbacks,07/30/02,J.K. Rowling,Harry Potter And The Goblet Of Fire
Anchor,03/04/14,Chimamanda Ngozi Adichie,Americanah
G.P. Putnam's Sons,04/24/18,John Sandford,Twisted Prey (A Prey Novel)
Anchor; Reprint edition,05/20/14,Kevin Kwan,Crazy Rich Asians
Dutton,02/06/18,Lisa Gardner,Look for Me (D. D. Warren)
G.P. Putnam's Sons,11/06/18,Clive Cussler,Celtic Empire (Dirk Pitt Adventure)
Vintage,02/01/94,Truman Capote,In Cold Blood
W. W. Norton &amp; Company; Reprint edition,03/06/18,Neil Gaiman,Norse Mythology
G.P. Putnam's Sons,03/13/18,Randy Wayne White,Caribbean Rim (A Doc Ford Novel)
Ballantine Books,02/13/18,Jonathan Kellerman,Night Moves: An Alex Delaware Novel
Lake Union Publishing,02/20/18,Rhys Bowen,The Tuscan Child
Dover Publications,,Marcus Aurelius,Meditations (Dover Thrift Editions)
Zondervan,03/06/18,Terri Blackstock,If I Live (If I Run Series)
Holt Paperbacks,03/13/18,Mallory Ortberg,The Merry Spinster: Tales of Everyday Horror
Penguin Press; 1st Edition edition,10/10/17,Mary Oliver,Devotions: The Selected Poems of Mary Oliver
Harper Perennial Modern Classics; 1 edition,05/30/06,Zora Neale Hurston,Their Eyes Were Watching God
Harper,03/27/18,Jacqueline Winspear,To Die but Once: A Maisie Dobbs Novel
Harper,07/17/18,Daniel Silva,The Other Woman: A Novel (Gabriel Allon)
Penguin Books,09/01/94,Chinua Achebe,Things Fall Apart
Penguin Books; Reprint edition,06/26/12,Amor Towles,Rules of Civility: A Novel
IT Revolution Press; 3 edition,02/27/18,Gene Kim,"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win"
Berkley; Premium edition,06/27/17,Liane Moriarty,The Husband's Secret
St. Martin's Press,05/29/18,Nora Roberts,Shelter in Place
Del Rey,01/16/18,Pierce Brown,Iron Gold: Book 4 of the Red Rising Saga (Red Rising Series)
Scholastic Paperbacks,08/10/04,J.K. Rowling,Harry Potter And The Order Of The Phoenix
Yearling,05/09/00,Louis Sachar,Holes
Ballantine Books,10/02/18,Jodi Picoult,A Spark of Light: A Novel
Atria/Emily Bestler Books,03/06/18,Jack Carr,The Terminal List: A Thriller
CreateSpace Independent Publishing Platform; 8/25/13 edition,09/24/13,Nayyirah Waheed,salt.
Random House; Possible First edition,08/12/61,Dr. Seuss,The Sneetches and Other Stories
Harper Perennial Modern Classics; Reprint edition,02/21/06,Gabriel Garcia Marquez,One Hundred Years of Solitude (Harper Perennial Modern Classics)
"Little, Brown Books for Young Readers; Reprint edition",04/01/09,Sherman Alexie,The Absolutely True Diary of a Part-Time Indian
Kensington,02/27/18,Joanne Fluke,Raspberry Danish Murder (A Hannah Swensen Mystery)
William Morrow Paperbacks; Reprint edition,06/20/17,Paulette Jiles,News of the World
Dial Press,05/05/09,Annie Barrows,The Guernsey Literary and Potato Peel Pie Society
Houghton Mifflin Harcourt,09/18/12,J. R. R. Tolkien,The Hobbit
Broadway Books; Reprint edition,04/12/16,Ernest Cline,Armada: A novel by the author of Ready Player One
Vintage; Reprint edition,06/08/04,Toni Morrison,Beloved
Orbit; Translation edition,10/03/17,Andrzej Sapkowski,"The Witcher Boxed Set: Blood of Elves, The Time of Contempt, Baptism of Fire"
St. Martin's Griffin; Reissue edition,01/04/11,Kristin Hannah,Winter Garden
Scholastic Paperbacks; Reprint edition,07/25/06,J.K. Rowling,Harry Potter and the Half-Blood Prince (Book 6)
Riverhead Books; 1 edition,03/05/13,Khaled Hosseini,The Kite Runner
Andrews McMeel Publishing,02/14/17,Amanda Lovelace,the princess saves herself in this one
Simon &amp; Schuster,05/01/18,Richard Paul Evans,The Forgotten Road (The Broken Road Series)
Tor Books,01/12/16,Cixin Liu,The Three-Body Problem
Gallery Books,04/10/18,Catherine Coulter,The Sixth Day (A Brit in the FBI)
St. Martin's Press,01/30/18,J. D. Robb,"Dark in Death: An Eve Dallas Novel (In Death, Book 46)"
"Broadway Books; Anniversary, Reprint edition",10/08/02,Mitch Albom,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson"
Houghton Mifflin Harcourt; First Edition edition,09/02/14,Randall Munroe,What If?: Serious Scientific Answers to Absurd Hypothetical Questions
Wizards of the Coast; Har/Map edition,03/15/16,Wizards RPG Team,Curse of Strahd: A Dungeons & Dragons Sourcebook (D&D Supplement)
Berkley Books; Reprint edition,04/24/12,Liane Moriarty,What Alice Forgot
Multnomah; Paperback with Study Guide edition,05/09/05,Francine Rivers,Redeeming Love
St. Martin's Press,02/27/18,John Hart,The Hush: A Novel
William Morrow Paperbacks; Reprint edition,01/30/18,Christina Baker Kline,A Piece of the World: A Novel
Berkley,02/20/18,Mark Greaney,Agent in Place (Gray Man)
SparkNotes; Study Guide ed. edition,,William Shakespeare,Romeo and Juliet (No Fear Shakespeare)
Riverhead Books; Reprint edition,09/02/08,Junot Díaz,The Brief Wondrous Life of Oscar Wao
Pantheon; 2nd edition,03/07/00,Mark Z. Danielewski,House of Leaves
Viking; 1st Edition edition,02/06/18,Matt Haig,How to Stop Time
Flatiron Books,03/06/18,Shobha Rao,Girls Burn Brighter: A Novel
William Morrow; Reissue edition,03/29/11,Agatha Christie,And Then There Were None
Ballantine Books; Reissue edition,04/21/09,Maya Angelou,I Know Why the Caged Bird Sings
Graywolf Press; 1st Edition edition,10/03/17,Carmen Maria Machado,Her Body and Other Parties: Stories
Andrews McMeel Publishing,09/27/16,Samantha King,"Born to Love, Cursed to Feel"
Puffin Books; Reprint edition,03/02/06,Julia Donaldson,The Gruffalo
Flatiron Books; Reprint edition,01/02/18,Jane Harper,The Dry: A Novel
A Thomas Dunne Book for St. Martin's Griffin; Reprint edition,10/03/17,Bryn Greenwood,All the Ugly and Wonderful Things: A Novel
Simon &amp; Schuster,04/03/18,Mary Higgins Clark,I've Got My Eyes on You
Atria Books; Reprint edition,03/04/14,William Kent Krueger,Ordinary Grace
Del Rey,04/17/18,Daniel José Older,Last Shot (Star Wars): A Han and Lando Novel
Doubleday; Reissue edition,01/06/58,Margery Williams,The Velveteen Rabbit
Michael Wiese Productions,05/25/05,Blake Snyder,Save The Cat! The Last Book on Screenwriting You'll Ever Need
Metropolitan Books; 1st Edition edition,11/21/17,Caroline Fraser,Prairie Fires: The American Dreams of Laura Ingalls Wilder
William Morrow,03/06/18,Linda Howard,The Woman Left Behind: A Novel
Waterhouse Press,02/13/18,Helen Hardt,Unraveled (Steel Brothers Saga Book 9)
William Morrow Paperbacks; Reprint edition,01/02/18,Jessica Shattuck,The Women in the Castle: A Novel
Andrews McMeel Publishing,02/06/18,r.h. Sin,Planting Gardens in Graves
Bloomsbury USA; Reprint edition,04/24/12,Jesmyn Ward,Salvage the Bones: A Novel
Custom House; 1st Edition edition,02/27/18,David Mamet,Chicago: A Novel
Vintage,03/14/06,Kazuo Ishiguro,Never Let Me Go
Vintage,,Albert Camus,The Stranger
Delacorte Press; First Edition edition,01/23/18,Danielle Steel,Fall from Grace: A Novel
Jeanius Publishing LLC,02/11/17,Pierre Alex Jeanty,Her
The Dial Press,02/13/18,Sophie Kinsella,Surprise Me: A Novel
Minotaur Books,03/20/18,Steve Berry,The Bishop's Pawn: A Novel (Cotton Malone)
Grove Press; Reprint edition,04/12/16,Viet Thanh Nguyen,The Sympathizer: A Novel (Pulitzer Prize for Fiction)
MTV Books; Reprint edition,02/03/09,Tupac Shakur,The Rose That Grew From Concrete
Image Comics; 7th edition,05/19/09,Robert Kirkman,The Walking Dead:  Compendium One
Ace,09/01/90,Frank Herbert,Dune
Harper Paperbacks; 1st edition,06/09/09,Garth Stein,The Art of Racing in the Rain: A Novel
Scribner; 1st edition,03/21/17,Lisa See,The Tea Girl of Hummingbird Lane: A Novel
Signet; 50th Anniversary edition,04/06/04,George Orwell,Animal farm: A Fairy Story
Grove Press; 1st Edition edition,02/13/18,Akwaeke Emezi,Freshwater
Anchor; Reprint edition,01/26/16,Hanya Yanagihara,A Little Life
Seventh Street Books; First Paperback Edition edition,10/14/14,Allen Eskens,The Life We Bury
Viking,09/04/18,Craig Johnson,Depth of Winter: A Longmire Mystery
Gallery/Scout Press; Reprint edition,03/06/18,Ruth Ware,The Lying Game: A Novel
Grand Central Publishing; 1 edition,01/16/18,Douglas Preston,City of Endless Night (Agent Pendergast series)
Ballantine Books,01/23/18,Karen Cleveland,Need to Know: A Novel
Del Rey; First Edition edition,09/27/95,Douglas Adams,The Hitchhiker's Guide to the Galaxy
Washington Square Press; Reprint edition,04/05/16,Fredrik Backman,My Grandmother Asked Me to Tell You She's Sorry
Broadway Books; Reprint edition,10/28/14,Andy Weir,The Martian
Vintage,04/03/91,Sandra Cisneros,The House on Mango Street
Brawtley Press,07/06/15,Sam Greenlee,The Spook Who Sat By The Door
Mariner Books; 1st edition,06/29/00,Antoine de Saint-Exupéry,The Little Prince
Viking; 1st Edition edition,09/12/17,Ken Follett,A Column of Fire (Kingsbridge)
Delacorte Press; 1st Edition edition,11/07/17,Lee Child,The Midnight Line: A Jack Reacher Novel
Scribner; First Edition edition,09/26/17,Stephen King,Sleeping Beauties: A Novel
MTV Books; Media Tie-In edition,08/14/12,Stephen Chbosky,The Perks of Being a Wallflower
Harper,01/23/18,Alafair Burke,The Wife: A Novel of Psychological Suspense
Ballantine Books; Reissue edition,03/12/87,A W. Wheen,All Quiet on the Western Front
Image Comics; 3 edition,10/13/15,Robert Kirkman,The Walking Dead: Compendium Three
Scribner; Reissue edition,05/05/95,Ernest Hemingway,The Old Man and The Sea
Penguin Classics; Reissue edition,03/28/06,John Steinbeck,The Grapes of Wrath
Vintage Books,03/28/07,Cormac McCarthy,The Road
NYRB Classics; Translation edition,03/06/18,Alfred Doblin,Berlin Alexanderplatz (New York Review Books Classics)
Random House Trade Paperbacks; Reprint edition,06/26/17,Imbolo Mbue,Behold the Dreamers (Oprah's Book Club): A Novel
Simon &amp; Schuster; Anniversary edition,04/05/11,Joseph Heller,Catch-22: 50th Anniversary Edition
Mulholland Books,02/20/18,Walter Mosley,Down the River unto the Sea
Del Rey; Reprint edition,07/15/14,Pierce Brown,Red Rising
Vintage Books; 2nd edition,03/14/95,Ralph Ellison,Invisible Man
Orbit,08/04/15,N. K. Jemisin,The Fifth Season (The Broken Earth)
Europa Editions; 1st edition,09/25/12,Elena Ferrante,"My Brilliant Friend: Neapolitan Novels, Book One"
Simon &amp; Schuster; Reprint edition,01/31/17,Megan Miranda,All the Missing Girls: A Novel
Back Bay Books; Anniversary edition,11/13/06,David Foster Wallace,Infinite Jest
Bantam; Later Printing edition,10/28/14,George R. R. Martin,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones
Andrews McMeel Publishing,03/06/18,Amanda Lovelace,the witch doesn't burn in this one
Random House; First Edition edition,04/12/58,Dr. Seuss,Yertle the Turtle and Other Stories
Del Rey,05/28/96,Philip K. Dick,Do Androids Dream of Electric Sheep?: The inspiration for the films Blade Runner and Blade Runner 2049
Viking Books for Young Readers; New edition edition,10/01/92,Jon Scieszka,The Stinky Cheese Man and Other Fairly Stupid Tales
Pantheon,11/06/18,Alexander McCall Smith,The Colors of All the Cattle: No. 1 Ladies' Detective Agency (19) (No. 1 Ladies' Detective Agency Series)
MIRA,03/06/18,Jude Deveraux,As You Wish (A Summerhouse Novel)
"Vintage; Reprint, Reissue edition",11/29/04,Lorraine Hansberry,A Raisin in the Sun
St. Martin's Press,03/27/18,Jessica Strawser,Not That I Could Tell: A Novel
Ace Books; 1st edition,03/15/87,Ursula K. Le Guin,The Left Hand of Darkness
William Morrow Paperbacks,03/01/16,Stephanie Dray,America's First Daughter: A Novel
Berkley,01/30/18,Jasmine Guillory,The Wedding Date
Penguin Classics; Reprint edition,11/01/97,Homer,The Odyssey
Princeton Review; Csm edition,08/01/17,Princeton Review,"Cracking the AP English Literature & Composition Exam, 2018 Edition: Proven Techniques to Help You Score a 5 (College Test Preparation)"
Graywolf Press; 1 edition,10/07/14,Claudia Rankine,Citizen: An American Lyric
"Del Rey; 1st, First American Edition, Cover Torn edition",03/02/04,Richard K. Morgan,Broken Angels: A Novel (Takeshi Kovacs)
Riverhead Books; Reprint edition,11/25/08,Khaled Hosseini,A Thousand Splendid Suns
Knopf,11/13/18,Haruki Murakami,Killing Commendatore: A novel
Back Bay Books,04/07/15,Donna Tartt,The Goldfinch: A Novel (Pulitzer Prize for Fiction)
William Morrow,04/02/13,Christina Baker Kline,Orphan Train
Image Comics; First Paperback Edition edition,10/16/12,Robert Kirkman,The Walking Dead: Compendium Two
Knopf; 1st edition,10/27/15,Cheryl Strayed,Brave Enough
Chronicle Books,08/19/14,Lea Redmond,Letters to My Baby: Write Now. Read Later. Treasure Forever.
DAW Books,04/01/08,Patrick Rothfuss,The Name of the Wind
"Little, Brown and Company; Large Print edition",03/26/18,James Patterson,Red Alert: An NYPD Red Mystery
Back Bay Books; Reprint edition,04/02/13,Maria Semple,"Where'd You Go, Bernadette: A Novel"
G.P. Putnam's Sons,04/10/18,Stuart Woods,Shoot First (A Stone Barrington Novel)
Penguin Classics; Reissue edition,10/01/92,John Steinbeck,East of Eden (Penguin Twentieth Century Classics)
Lake Union Publishing,02/01/18,Eoin Dempsey,"White Rose, Black Forest"
HarperTorch; 1st edition,04/25/06,Robert M Pirsig,Zen and the Art of Motorcycle Maintenance: An Inquiry into Values
Minotaur Books,03/06/18,Phillip Margolin,The Third Victim: A Novel
Simon &amp; Schuster; 1 edition,07/01/03,William Shakespeare,Hamlet ( Folger Library Shakespeare)
Mariner Books; 1 edition,,Alice Walker,The Color Purple
Vintage Books; 1 edition,04/03/12,E L James,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series)
Penguin Books; Reprint edition,06/09/15,Lev Grossman,The Magicians Trilogy Boxed Set: The Magicians; The Magician King; The Magician's Land
Vintage; 1st edition,03/06/91,Bret Easton Ellis,American Psycho
Orbit,12/01/15,Andrzej Sapkowski,Sword of Destiny (The Witcher)
Anchor; Reissue edition,06/26/12,Stephen King,The Shining
Ballantine Books,04/10/18,J.R. Ward,The Thief: A Novel of the Black Dagger Brotherhood
Harper,10/16/18,Mitch Albom,The Next Person You Meet in Heaven: The Sequel to The Five People You Meet in Heaven
Howard Books,05/29/18,Karen Kingsbury,To the Moon and Back: A Novel (Baxter Family)
Ace,06/05/18,Jim Butcher,Brief Cases (Dresden Files)
Touchstone; Revised edition,,Charles Van Doren,How to Read a Book: The Classic Guide to Intelligent Reading
Touchstone,03/20/18,J.A. Jance,Duel to the Death (Ali Reynolds)
Greyson Media Associates,11/04/17,Christopher Greyson,The Girl Who Lived: A Thrilling Suspense Novel
"Warner Books, Inc.",11/01/97,James Redfield,The Celestine Prophecy: An Adventure
CreateSpace Independent Publishing Platform,11/23/17,Marcus Aurelius,Meditations
CreateSpace Independent Publishing Platform,09/29/17,Aldous Huxley,Brave New World
William Morrow Paperbacks; Reprint edition,11/28/17,Ruth Hogan,The Keeper of Lost Things: A Novel
Ace,03/06/18,Anne Bishop,"Lake Silence (World of the Others, The)"
Bantam Classics; Reprint edition,,Mark Twain,The Adventures of Huckleberry Finn (Bantam Classic)
Image Comics,09/11/18,Robert Kirkman,The Walking Dead Volume 30: New World Order
Berkley; a edition,03/05/13,Jenny Lawson,Let's Pretend This Never Happened: A Mostly True Memoir
Beacon Press,02/01/04,Octavia E. Butler,Kindred
Dutton,09/25/18,Hank Green,An Absolutely Remarkable Thing: A Novel
Delacorte Press,01/30/18,Alan Bradley,The Grave's a Fine and Private Place: A Flavia de Luce Novel
Harper Perennial Modern Classics; 1 edition,,Sylvia Plath,The Bell Jar (Modern Classics)
HarperCollins Publishers Ltd,01/01/00,Dr. Seuss,The Wonderful World of Dr. Seuss 20 Reading Books Collection Gift Box Set
CreateSpace Independent Publishing Platform; 1 edition,,Renaada Williams,becoming.
"Bantam; Media Tie In, Reprint edition",03/22/11,George R. R. Martin,"A Game of Thrones (A Song of Ice and Fire, Book 1)"
Riverhead Books; 1st Edition edition,05/02/17,Paula Hawkins,Into the Water: A Novel
"Little, Brown and Company; 1st Edition edition",10/31/17,Michael Connelly,Two Kinds of Truth (A Harry Bosch Novel)
"Little, Brown and Company",02/13/18,Caitlin Macy,Mrs.: A Novel
Simon &amp; Schuster; 1st Edition edition,01/02/18,James Lee Burke,Robicheaux: A Novel
Penguin Books; 1 edition,07/28/83,Benjamin Hoff,The Tao of Pooh
Passionista Publishing,09/11/16,Cara Alwill Leyba,Stripped: A Collection of Inspired Writings for the Evolving Woman
St. Martin's Griffin,07/25/17,Ashley & JaQuavis,The Cartel 7: Illuminati: Roundtable of Bosses
HarperCollins; Reprint edition,07/08/94,C. S. Lewis,"The Lion, the Witch and the Wardrobe (The Chronicles of Narnia)"
Forge Books; Media Tie In edition,12/06/16,W. Bruce Cameron,A Dog's Purpose: A Novel for Humans
Andrews McMeel Publishing,07/25/17,r.h. Sin,A Beautiful Composition of Broken
CreateSpace Independent Publishing Platform,01/22/18,Allie Michelle,Explorations of a Cosmic Soul
Button Poetry,08/22/17,Sabrina Benaim,Depression & Other Magic Tricks
Atria / 37 INK; Reprint edition,07/12/16,Issa Rae,The Misadventures of Awkward Black Girl
G.P. Putnam's Sons,08/14/18,Janet Evanovich,The Mark (Fox and O'Hare)
Atria Books,07/17/18,Colleen Hoover,All Your Perfects: A Novel
DAW; Reissue edition,04/02/13,Patrick Rothfuss,The Wise Man's Fear (Kingkiller Chronicle)
HarperCollins Español,01/22/02,Paulo Coelho,El Alquimista: Una Fabula Para Seguir Tus Suenos
Vintage International; 1st edition,09/12/90,Kazuo Ishiguro,The Remains of the Day
Bantam; 54th printing edition,01/01/83,Og Mandino,The Greatest Salesman in the World
Gallery Books; Media Tie-In edition,10/24/17,John E. Douglas,Mindhunter: Inside the FBI's Elite Serial Crime Unit
Anchor; Reprint edition,05/31/16,Kevin Kwan,China Rich Girlfriend
