Publisher,Time,Author,Title
Delacorte Press; First Edition first Printing edition,11/28/17,Danielle Steel,Past Perfect: A Novel
Signet; Reissue edition,07/03/12,Henry David Thoreau,Walden and Civil Disobedience
Grand Central Publishing; Reprint edition,06/06/17,Noah Hawley,Before the Fall
Grand Central Publishing; Reprint edition,11/14/17,James Patterson,Count to Ten: A Private Novel
MIRA; Reprint edition,02/20/18,Robyn Carr,Any Day Now (Sullivan's Crossing)
Vintage Books,04/25/95,Michel Foucault,Discipline & Punish: The Birth of the Prison
Ecco; 1st Edition edition,02/06/18,Joyce Carol Oates,Beautiful Days: Stories
Del Rey,04/03/18,Kevin Hearne,Scourged (The Iron Druid Chronicles)
CreateSpace Independent Publishing Platform,11/25/17,Mary Wollstonecraft Shelley,Frankenstein
Ace; Reprint edition,01/30/18,Patricia Briggs,Silence Fallen (A Mercy Thompson Novel)
William Morrow Paperbacks; Reprint edition,05/17/16,Neal Stephenson,Seveneves
CreateSpace Independent Publishing Platform,11/21/17,Jane Austen,Pride and Prejudice
Del Rey; 1st edition,08/27/02,Terry Brooks,The Sword of Shannara Trilogy
"New Directions; Some Pages Turned Down, Name on Side edition",06/17/99,Tennessee Williams,The Glass Menagerie
Dial Press Trade Paperback; Reprint edition,07/09/02,James A. Michener,The Source: A Novel
Central Avenue Publishing,12/01/11,pleasefindthis,I Wrote This For You
Delacorte Press; First Edition edition,06/27/17,Diana Gabaldon,Seven Stones to Stand or Fall: A Collection of Outlander Fiction
Broadway Books; Reprint edition,03/06/18,Nina George,The Little French Bistro: A Novel
G.P. Putnam's Sons; Reprint edition,01/23/18,C. J. Box,Vicious Circle (A Joe Pickett Novel)
Orbit,05/22/18,Andrzej Sapkowski,Season of Storms (The Witcher)
Andrews McMeel Publishing,04/04/17,r.h. Sin,3: Whiskey Words & a Shovel III
Thomas &amp; Mercer,01/01/18,Gregg Olsen,The Last Thing She Ever Did
Harper Voyager; Reprint edition,10/20/94,Ursula K. Le Guin,The Dispossessed (Hainish Cycle)
Vintage; Reprint edition,02/13/01,Patrick Suskind,Perfume: The Story of a Murderer
Zondervan; Large Print edition,11/15/16,Zondervan,"NIV, Journal the Word Bible, Large Print, Hardcover, Black: Reflect, Journal, or Create Art Next to Your Favorite Verses"
St. Martin's Paperbacks; Reprint edition,01/02/18,J. D. Robb,"Secrets in Death: An Eve Dallas Novel (In Death, Book 45)"
Wave Books; First Edition edition,10/01/09,Maggie Nelson,Bluets
Bookouture,01/22/18,Lucy Dawson,The Daughter: A gripping psychological thriller with a twist you won’t see coming
Knopf Books for Young Readers; 1st edition,04/20/98,Dr Seuss,Hooray for Diffendoofer Day!
Berkley,02/04/14,Susan Meissner,A Fall of Marigolds
Warner Books; Reissue edition,,Nicholas Sparks,The Guardian
Mariner Books; 1 edition,,Mary Oliver,A Poetry Handbook
CreateSpace Independent Publishing Platform,12/31/16,Bella Forrest,The Gender Game 3: The Gender Lie (Volume 3)
Atria Books; 31992nd edition,02/03/04,Shirley P. Glass,"Not ""Just Friends"": Rebuilding Trust and Recovering Your Sanity After Infidelity"
G.P. Putnam's Sons,10/30/18,Jan Karon,"Bathed in Prayer: Father Tim's Prayers, Sermons, and Reflections from the Mitford Series"
Image Comics; First Edition edition,03/25/14,Brian K Vaughan,"Saga, Vol. 3"
Pocket Books; First Edition edition,01/24/06,Stephen King,"The Dark Tower V: The Wolves of the Calla (The Dark Tower, Book 5)"
Lake Union Publishing,02/01/18,Ellie Monago,Neighborly: A Novel
Image Comics,07/02/13,Brian K. Vaughan,"Saga, Vol. 2"
Random House; First Edition edition,03/31/15,Maya Angelou,The Complete Poetry
Simon &amp; Schuster; 1st edition,10/01/95,Michael Hague,The Children's Book of Virtues
Penguin Books; Translation edition,01/23/18,Ahmed Saadawi,Frankenstein in Baghdad: A Novel
MIRA,05/02/17,Bunmi Laditan,Confessions of a Domestic Failure: A Humorous Book About a not so Perfect Mom
Headline,04/05/16,Kathryn Hughes,The Letter
St. Martin's Paperbacks,02/27/18,Lora Leigh,Collision Point: A Brute Force Novel
Thomas &amp; Mercer,03/01/18,Lee Goldberg,True Fiction (Ian Ludlow Thrillers)
G.P. Putnam's Sons; Premium edition,05/31/16,C. J. Box,Open Season (A Joe Pickett Novel)
Mariner Books; Reissue edition,09/18/12,J.R.R. Tolkien,The Return of the King: Being the Third Part of the Lord of the Rings
Berkley; Reprint edition,08/28/07,Lee Child,Running Blind (Jack Reacher)
Anchor; Reprint edition,05/01/12,Dan Brown,The Lost Symbol
Tor Books,02/06/18,R. A. Salvatore,Child of a Mad God: A Tale of the Coven
Ballantine Books; Reprint edition,04/03/12,Vanessa Diffenbaugh,The Language of Flowers: A Novel
Penguin Classics; Revised edition,12/31/02,Emily Brontë,Wuthering Heights (Penguin Classics)
Viking,05/08/18,Deborah Harkness,"The World of All Souls: The Complete Guide to A Discovery of Witches, Shadow of Night, and The Book of Life (All Souls Trilogy)"
W. W. Norton &amp; Company; 9 edition,,Robert S. Levine,"The Norton Anthology of American Literature (Ninth Edition)  (Vol. Package 2: Volumes C, D, E) (Norton Anthology of American Literature, package 2)"
Mariner Books; 1 edition,09/24/90,Virginia Woolf,Mrs. Dalloway
Berkley,02/20/18,Miranda James,Claws for Concern (Cat in the Stacks Mystery)
St. Helena Press,08/15/16,David Pepper,The People's House
Waterhouse Press,02/14/17,Helen Hardt,Burn (Steel Brothers Saga Book 5)
Minotaur Books,07/10/18,Linda Castillo,A Gathering of Secrets: A Kate Burkholder Novel
Minotaur Books,01/30/18,Gregg Hurwitz,Hellbent: An Orphan X Novel
Vintage,06/29/93,Cormac McCarthy,"All the Pretty Horses (The Border Trilogy, Book 1)"
Scribner; Reprint edition,04/15/08,Ursula  K. Le Guin,The Lathe Of Heaven: A Novel
Back Bay Books,,David Foster Wallace,Consider the Lobster and Other Essays
Penguin Press; 1st edition,10/11/16,Mary Oliver,Upstream: Selected Essays
Anchor; Reprint edition,10/01/95,Laura Esquivel,"Like Water for Chocolate: A Novel in Monthly Installments with Recipes, Romances, and Home Remedies"
Anchor; 1st Printing edition,05/06/14,Dan Brown,Inferno (Robert Langdon)
CreateSpace Independent Publishing Platform,10/06/16,Jennae Cecelia,Uncaged Wallflower
Atria/Emily Bestler Books; Reprint edition,11/05/13,Jodi Picoult,The Storyteller
Puffin Books; 15630th edition,04/12/04,Jane Yolen,The Devil's Arithmetic (Puffin Modern Classics)
Kensington,09/26/17,Susan Holloway Scott,"I, Eliza Hamilton"
Viking,01/09/18,Gregory Blake Smith,The Maze at Windermere: A Novel
Scribner,,C.S. Lewis,Out of the Silent Planet (Space Trilogy (Paperback))
Anchor Books; 1st edition,02/25/03,Ian McEwan,Atonement: A Novel
Vintage; Reprint edition,08/11/09,Haruki Murakami,What I Talk About When I Talk About Running: A Memoir (Vintage International)
"Hackett Publishing Company, Inc.",,Jackson Crawford,The Poetic Edda: Stories of the Norse Gods and Heroes (Hackett Classics)
The Overlook Press; First Edition edition,10/03/17,Mark Helprin,Paris in the Present Tense: A Novel
MIRA,09/05/17,J.T. Ellison,Lie to Me: A Fast-Paced Psychological Thriller
Thomas &amp; Mercer; First Edition edition,07/01/17,Rachel Caine,Stillhouse Lake (Stillhouse Lake Series)
Grove Press; Reprint edition,01/02/18,Viet Thanh Nguyen,The Refugees
Grand Central Publishing; Reprint edition,04/25/17,Michael Connelly,The Black Echo (A Harry Bosch Novel)
Picador,09/24/13,Robin Sloan,Mr. Penumbra's 24-Hour Bookstore: A Novel
Sterling Children's Books; Illustrated edition,03/06/12,Kenneth Grahame,The Wind in the Willows (Sterling Illustrated Classics)
Scribner; 1 edition,,Alan Paton,"Cry, the Beloved Country"
Pocket Books; Reissue edition,01/31/17,Stephen King,Pet Sematary: A Novel
HarperOne; Later Printing Used edition,11/23/10,Paulo Coelho,The Alchemist: A Graphic Novel (an illustrated interpretation of The Alchemist)
Vintage; Reprint edition,06/08/04,Toni Morrison,Sula
Atria/Emily Bestler Books; Reprint edition,06/16/15,Caroline Kepnes,You: A Novel
Del Rey; 2nd edition,01/12/85,J.R.R. Tolkien,The Silmarillion
Ballantine Books; Media Tie In edition,09/29/96,Bryce Courtenay,The Power of One: A Novel
BookShots,08/01/17,James Patterson,The Medical Examiner: A Women's Murder Club Story (BookShots)
Harper Perennial; Reprint edition,09/06/16,Mary Karr,The Art of Memoir
Image Comics,12/23/14,Brian K. Vaughan,"Saga, Vol. 4"
Eamon Dolan/Mariner Books; Reprint edition,05/24/16,P. W. Singer,Ghost Fleet: A Novel of the Next World War
Ballantine Books; Reprint edition,09/12/17,Jamie Ford,Love and Other Consolation Prizes: A Novel
Orbit; Reprint edition,05/10/16,James S. A. Corey,Nemesis Games (The Expanse)
Ballantine Books; Reprint edition,10/30/12,Michael Crichton,The Lost World: A Novel (Jurassic Park)
William Morrow,12/26/17,Greg Iles,Mississippi Blood: The Natchez Burning Trilogy
Pocket Books; Reissue edition,12/27/16,Stephen King,The Dark Tower IV: Wizard and Glass
Knopf Books for Young Readers,04/26/05,Christopher Paolini,"Eragon (Inheritance, Book 1)"
St. Martin's Griffin; Reprint edition,01/08/13,Kristin Hannah,Home Front: A Novel
William Morrow Paperbacks; Reprint edition,04/03/12,John Irving,A Prayer for Owen Meany: A Novel
Grand Central Publishing; Reprint edition,10/15/13,Michael Connelly,The Black Ice (Harry Bosch)
Dell; Reprint edition,07/11/17,John Grisham,The Whistler: A Novel
Dover Publications; Reprint edition,,Oscar Wilde,The Picture of Dorian Gray (Dover Thrift Editions)
Ballantine Books,04/10/18,Anne Perry,Twenty-one Days: A Daniel Pitt Novel
Sourcebooks Landmark; First Edition edition,07/07/15,Kelli Estes,The Girl Who Wrote in Silk
"Little, Brown and Company",04/03/18,Leslie Jamison,The Recovering: Intoxication and Its Aftermath
Image Comics,03/07/17,Robert Kirkman,The Walking Dead Volume 27: The Whisperer War
Howard Books; First Edition edition,11/07/17,Karen Kingsbury,In This Moment: A Novel
Story Warren Books; Special Edition edition,12/28/17,S. D. Smith,The Last Archer: A Green Ember Story
Vintage; Reprint edition,09/12/13,James Baldwin,Go Tell It on the Mountain (Vintage International)
Hyperion; 1st edition,04/27/05,Fred Rogers,Life's Journeys According to Mister Rogers: Things to Remember Along the Way
Three Rivers Press; Reprint edition,09/27/16,Mindy Kaling,Why Not Me?
Grand Central Publishing; Reprint edition,03/13/18,James Patterson,Haunted (Michael Bennett)
Scribner; Reprint edition,07/08/14,Ernest Hemingway,A Farewell to Arms: The Hemingway Library Edition
Penguin Compass; Gift edition,08/01/99,Hafiz,The Gift
QuickStudy; Bilingual edition,01/01/05,Inc. BarCharts,Japanese Vocabulary (Quick Study Academic)
Graywolf Press,03/07/17,Layli Long Soldier,WHEREAS: Poems
CreateSpace Independent Publishing Platform,09/21/17,Creative Notebooks,"Get Shit Done: 2018 Planner, Monthly, Weekly, Daily, Unicorn, January 2018 - December 2018"
Mariner Books; Reprint edition,04/18/17,Monica Wood,The One-in-a-Million Boy
Oxford University Press; 1 edition,04/08/04,Geraldine Pinch,"Egyptian Mythology: A Guide to the Gods, Goddesses, and Traditions of Ancient Egypt"
Dover Publications; 1 edition,07/01/90,Joseph Conrad,Heart of Darkness (Dover Thrift Editions)
Forever,03/06/18,Grace Burrowes,A Rogue of Her Own (Windham Brides)
William Morrow Paperbacks,04/03/18,Stephanie Dray,My Dear Hamilton: A Novel of Eliza Schuyler Hamilton
Simon &amp; Schuster,05/02/17,Richard Paul Evans,The Broken Road: A Novel (The Broken Road Series)
"Taylor Made Publishing, LLC",08/15/17,Juliet C,Secrets Of A Jewel
Random House Trade Paperbacks; Trade Paperback Edition edition,10/27/09,Maya Angelou,Letter to My Daughter
Penguin Classics; 1st edition,02/07/84,Sophocles,The Three Theban Plays: Antigone; Oedipus the King; Oedipus at Colonus
Riverhead Books; Reprint edition,06/03/14,Khaled Hosseini,And the Mountains Echoed
Andrews McMeel Publishing,10/24/17,Mariah Marsden,Anne of Green Gables: A Graphic Novel
Grove Press; Reprint edition,11/07/17,Emily Fridlund,History of Wolves: A Novel
Harper Perennial; Reprint edition,02/27/18,Jacqueline Winspear,In This Grave Hour: A Maisie Dobbs Novel
William Morrow Paperbacks; Reissue edition,02/20/18,Barbara Delinsky,Within Reach: A Novel
Dutton; Reprint edition,09/02/14,Nick Offerman,Paddle Your Own Canoe: One Man's Fundamentals for Delicious Living
Zondervan,03/21/17,Terri Blackstock,If I'm Found (If I Run Series)
Button Poetry,03/28/17,Olivia Gatwood,New American Best Friend
Black Sparrow Press,05/31/02,Charles Bukowski,You Get So Alone at Times That It Just Makes Sense
Penguin Books; 1st edition,10/07/08,Ken Follett,World Without End: A Novel (Kingsbridge)
CreateSpace Independent Publishing Platform,02/09/17,Bella Forrest,The Gender Game 4: The Gender War (Volume 4)
St. Martin's Griffin,04/05/16,Sylvia Day,One with You (Crossfire)
HQN,02/27/18,Brenda Jackson,Best Laid Plans (Madaris Family Saga)
Harper Perennial Modern Classics; Anniversary edition,11/21/06,Erich Fromm,The Art of Loving
HQ,02/11/16,B. A. Paris,Behind Closed Doors
Image Comics,09/15/15,Brian K. Vaughan,"Saga, Vol. 5"
Penguin Books; Reprint edition,06/07/11,John le Carré,"Tinker, Tailor, Soldier, Spy: A George Smiley Novel"
Yen On,09/27/16,Kugane Maruyama,"Overlord, Vol. 2 - light novel"
Urban Books,02/28/17,Ashley & JaQuavis,The Cartel
Urban Books,12/27/16,Ashley & JaQuavis,The Cartel 5: La Bella Mafia
Simon &amp; Schuster; Reprint edition,06/07/16,Alice Hoffman,The Marriage of Opposites
"Little, Brown and Company",02/06/18,Elizabeth Crook,The Which Way Tree
Harcourt Brace Jovanovich,05/03/78,Italo Calvino,Invisible Cities
TarcherPerigee; Reprint edition,10/27/03,Manly P. Hall,The Secret Teachings of All Ages (Reader's Edition)
Knopf; 1st Edition edition,06/06/17,Arundhati Roy,The Ministry of Utmost Happiness: A novel
Gallery Books; Reprint edition,01/06/15,Stephen King,Mr. Mercedes: A Novel (The Bill Hodges Trilogy)
Jenna Moreci,04/24/18,Jenna Moreci,The Savior's Champion (The Savior's Series)
Yale University Press,11/01/16,Raymond Clemens,The Voynich Manuscript
Bantam,06/12/18,Laurie R. King,Island of the Mad: A novel of suspense featuring Mary Russell and Sherlock Holmes
Reagan Arthur / Back Bay Books; First Paperback Edition edition,11/06/12,Eowyn Ivey,The Snow Child: A Novel
MIRA; Reprint edition,02/24/15,Mary Kubica,The Good Girl: An addictively suspenseful and gripping thriller
Harper Perennial; First Edition edition,10/17/17,Joseph Fink,It Devours!: A Welcome to Night Vale Novel
William Morrow Paperbacks; Reprint edition,08/04/15,Greg Iles,Natchez Burning: A Novel (Penn Cage)
"Farrar, Straus and Giroux; Reprint edition",03/20/07,Jostein Gaarder,Sophie's World: A Novel About the History of Philosophy (FSG Classics)
Anchor; Reprint edition,03/06/18,Alexander McCall Smith,My Italian Bulldozer: A Novel
MIRA; Reissue edition,01/30/18,Debbie Macomber,Looking for a Hero: Marriage Wanted
Broadway Books; 39501st edition,06/28/11,Charles Martin,The Mountain Between Us: A Novel
Grove Press; 1 edition,,Samuel Beckett,Waiting for Godot: A Tragicomedy in Two Acts
Penguin Books; Reprint edition,09/04/12,Ken Follett,Fall of Giants: Book One of the Century Trilogy
Delacorte Press,01/16/18,Melanie Benjamin,The Girls in the Picture: A Novel
Sourcebooks Landmark; 1St Edition edition,07/15/14,Charles Belfoure,The Paris Architect: A Novel
Random House Trade Paperbacks; 1 edition,03/26/13,Rachel Joyce,The Unlikely Pilgrimage of Harold Fry: A Novel
Viking; 1st edition,09/05/17,Craig Johnson,The Western Star: A Longmire Mystery
Lake Union Publishing,08/01/16,Kerry Lonsdale,Everything We Keep: A Novel (The Everything Series)
Breakneck Media,03/02/18,Jeremy Robinson,The Divide
Alice James Books,09/12/17,Kaveh Akbar,Calling a Wolf a Wolf
Simon &amp; Schuster; Reprint edition,06/20/17,Alain de Botton,The Course of Love: A Novel
Kensington,03/27/18,Fern Michaels,Sweet Vengeance
Bookouture,06/06/17,Jenny Hale,The Summer House: A gorgeous feel good romance that will have you hooked
Three Rivers Press; 1st edition,10/16/07,Max Brooks,World War Z: An Oral History of the Zombie War
"Farrar, Straus and Giroux",10/01/84,Roald Dahl,Roald Dahl's Book of Ghost Stories
HQN Books,07/10/18,Susan Mallery,When We Found Home
Dutton,01/09/18,Brad Taylor,Operator Down: A Pike Logan Thriller
G.P. Putnam's Sons; Reprint edition,02/27/18,Clive Cussler,The Cutthroat (An Isaac Bell Adventure)
Princeton Review; Premium edition,08/01/17,Princeton Review,"Cracking the AP U.S. History Exam 2018, Premium Edition (College Test Preparation)"
Simon &amp; Schuster; Reprint edition,10/20/15,Bill Browder,"Red Notice: A True Story of High Finance, Murder, and One Man’s Fight for Justice"
Knopf,01/30/18,Dave Eggers,The Monk of Mokha
Liveright; 1 edition,,Richard Rothstein,The Color of Law: A Forgotten History of How Our Government Segregated America
HarperOne; 1st Edition edition,02/27/18,N. T. Wright,Paul: A Biography
Vintage; Reprint edition,08/21/07,Lawrence Wright,The Looming Tower: Al-Qaeda and the Road to 9/11
Harper; 1st Edition edition,02/21/17,Yuval Noah Harari,Homo Deus: A Brief History of Tomorrow
Harper; 1st Edition edition,01/16/18,David Frum,Trumpocracy: The Corruption of the American Republic
Hill and Wang,01/16/06,Elie Wiesel,Night (Night)
Knopf; 1 edition,03/11/13,Sheryl Sandberg,"Lean In: Women, Work, and the Will to Lead"
Princeton Review; Premium edition,08/01/17,Princeton Review,"Cracking the AP World History Exam 2018, Premium Edition (College Test Preparation)"
Harper Perennial Modern Classics; Reissue edition,,Howard Zinn,A People's History of the United States
Vintage,02/01/94,Truman Capote,In Cold Blood
Penguin Press,03/06/18,Ryan H. Walsh,Astral Weeks: A Secret History of 1968
Twelve; 1 edition,05/24/16,Sebastian Junger,Tribe: On Homecoming and Belonging
Riverhead Books,02/20/18,Joel Richard Paul,Without Precedent: Chief Justice John Marshall and His Times
Penguin Books,05/27/14,Daniel James Brown,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
Anchor Books; 1 edition,01/20/97,Jon Krakauer,Into the Wild
Penguin Press,01/16/18,Niall Ferguson,"The Square and the Tower: Networks and Power, from the Freemasons to Facebook"
St. Martin's Press; First Edition edition,01/30/18,J. Randy Taraborrelli,"Jackie, Janet & Lee: The Secret Lives of Janet Auchincloss and Her Daughters, Jacqueline Kennedy Onassis and Lee Radziwill"
Broadway Books,03/08/11,Rebecca Skloot,The Immortal Life of Henrietta Lacks
Vintage,02/10/04,Erik Larson,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"
Knopf,02/27/18,John Banville,Time Pieces: A Dublin Memoir
Touchstone,10/13/15,Clint Emerson,"100 Deadly Skills: The SEAL Operative’s Guide to Eluding Pursuers, Evading Capture, and Surviving Any Dangerous Situation"
Vintage; Reprint edition,02/12/13,Jonathan Haidt,The Righteous Mind: Why Good People Are Divided by Politics and Religion
Free Press; 60840th edition,02/22/11,Gregory Boyle,Tattoos on the Heart: The Power of Boundless Compassion
William Collins; Reprint edition,05/10/16,Hyeonseo Lee,The Girl with Seven Names
Hachette Books,01/02/18,David Thibodeau,Waco: A Survivor's Story
Nation Books; Reprint edition,08/15/17,Ibram X. Kendi,Stamped from the Beginning: The Definitive History of Racist Ideas in America (National Book Award Winner)
Pantheon,11/19/96,Art Spiegelman,The Complete Maus
Bantam; Reissue edition,06/01/93,Anne Frank,Anne Frank: The Diary of a Young Girl
Simon &amp; Schuster,02/13/18,Bart D. Ehrman,The Triumph of Christianity: How a Forbidden Religion Swept the World
Greyhound Press; 1 edition,04/07/17,Sun Tzu,The Art Of War
Barron's Educational Series; 7 edition,,John McCannon,"Barron's AP World History, 7th Edition"
Penguin Books; Reprint edition,12/28/04,Steve Coll,"Ghost Wars: The Secret History of the CIA, Afghanistan, and Bin Laden, from the Soviet Invasion to September 10, 2001"
Bloomsbury USA,02/27/18,Matt Young,Eat the Apple
Liveright; 1 edition,02/27/18,Adam Winkler,We the Corporations: How American Businesses Won Their Civil Rights
Random House,03/06/18,Robert D. Kaplan,"The Return of Marco Polo's World: War, Strategy, and American Interests in the Twenty-first Century"
Grand Central Publishing; Reprint edition,09/05/17,Douglas Preston,The Lost City of the Monkey God: A True Story
Twelve; ISBN 9780446546928 edition,03/03/10,Dave Cullen,Columbine
Yale University Press,01/09/18,Patrick J. Deneen,Why Liberalism Failed (Politics and Culture)
Grand Central Publishing; First Edition edition,02/13/18,Andrew Morton,"Wallis in Love: The Untold Life of the Duchess of Windsor, the Woman Who Changed the Monarchy"
Simon &amp; Schuster; 1st Edition edition,10/31/17,Chris Matthews,Bobby Kennedy: A Raging Spirit
Simon &amp; Schuster,11/14/17,Gregory Boyle,Barking to the Choir: The Power of Radical Kinship
Sentinel; First Edition edition,10/24/17,Brian Kilmeade,Andrew Jackson and the Miracle of New Orleans: The Battle That Shaped America's Destiny
Henry Holt and Co.; First Edition edition,09/19/17,Bill O'Reilly,Killing England: The Brutal Struggle for American Independence (Bill O'Reilly's Killing Series)
Random House Trade Paperbacks; Reprint edition,01/02/18,Gary Noesner,Stalling for Time: My Life as an FBI Hostage Negotiator
Princeton Review; Csm edition,08/01/17,Princeton Review,"Cracking the AP European History Exam, 2018 Edition: Proven Techniques to Help You Score a 5 (College Test Preparation)"
Modern Library; 1St Edition edition,,Marcus Aurelius,Meditations: A New Translation
Filiquarian; First Thus edition,,Sun Tzu,The Art Of War
Chronicle Books,09/06/16,Ann Shen,Bad Girls Throughout History: 100 Remarkable Women Who Changed the World
Broadway Books; Reprint edition,,Michael Isikoff,"Hubris: The Inside Story of Spin, Scandal, and the Selling of the Iraq War"
North Shadow Press; 1 edition,01/31/16,Ryan M Cleckner,Long Range Shooting Handbook
Hachette Books; First Edition edition,10/10/17,Liza Mundy,Code Girls: The Untold Story of the American Women Code Breakers of World War II
Random House Trade Paperbacks; Reprint edition,07/29/14,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption"
William Morrow,03/06/18,Carl Hoffman,The Last Wild Men of Borneo: A True Story of Death and Treasure
Simon &amp; Schuster; Hard Cover edition,09/12/17,Hillary Rodham Clinton,What Happened
Pantheon; 1st Edition edition,06/01/04,Marjane Satrapi,Persepolis: The Story of a Childhood (Pantheon Graphic Novels)
Grand Central Publishing; 10th Anniversary Revised &amp; Updated edition,10/09/12,D. Michael Abrashoff,"It's Your Ship: Management Techniques from the Best Damn Ship in the Navy, 10th Anniversary Edition"
PublicAffairs,02/20/18,Gregg Easterbrook,It's Better Than It Looks: Reasons for Optimism in an Age of Fear
Sourcebooks; Reprint edition,03/06/18,Kate Moore,The Radium Girls: The Dark Story of America's Shining Women
Simon &amp; Schuster,02/13/18,Benn Steil,The Marshall Plan: Dawn of the Cold War
Regnery History,02/20/18,Scott A. Huesing,Echo in Ramadi: The Firsthand Story of US Marines in Iraq's Deadliest City
Liveright; 1 edition,01/09/18,Max Boot,The Road Not Taken: Edward Lansdale and the American Tragedy in Vietnam
Tim Duggan Books; 1st edition,02/28/17,Timothy Snyder,On Tyranny: Twenty Lessons from the Twentieth Century
Basic Books,04/28/15,Alfred Lansing,Endurance: Shackleton's Incredible Voyage
Vintage; Reprint edition,10/04/11,Isabel Wilkerson,The Warmth of Other Suns: The Epic Story of America's Great Migration
Bombardier Books,08/07/18,Robert Spencer,The History of Jihad: From Muhammad to ISIS
Chosen Books; 35th Anniversary edition,01/01/06,Corrie Ten Boom,The Hiding Place
Viking; First Edition edition,10/03/17,Eric Metaxas,Martin Luther: The Man Who Rediscovered God and Changed the World
Third World Press; 3rd Revised ed. edition,,Chancellor Williams,Destruction of Black Civilization: Great Issues of a Race from 4500 B.C. to 2000 A.D.
Vintage,11/16/17,Luke Harding,"Collusion: Secret Meetings, Dirty Money, and How Russia Helped Donald Trump Win"
Broadway Books; Reprint edition,03/06/18,Chris Whipple,The Gatekeepers: How the White House Chiefs of Staff Define Every Presidency
William Morrow Paperbacks; Media Tie In edition,12/06/16,Margot Lee Shetterly,Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race
Simon &amp; Schuster; 1st Edition edition,01/30/18,Mark Whitaker,Smoketown: The Untold Story of the Other Great Black Renaissance
Broadway Books; 1st edition,09/14/04,Bill Bryson,A Short History of Nearly Everything
Ecco,02/27/18,Andrew Friedman,"Chefs, Drugs and Rock & Roll: How Food Lovers, Free Spirits, Misfits and Wanderers Created a New American Profession"
DK Eyewitness Travel; Revised edition,02/21/17,DK Travel,DK Eyewitness Travel Guide: Japan
Portfolio; 1 edition,05/16/13,L. David Marquet,Turn the Ship Around!: A True Story of Turning Followers into Leaders
Spiegel &amp; Grau; Reprint edition,01/11/11,Wes Moore,"The Other Wes Moore: One Name, Two Fates"
Back Bay Books; Revised edition,06/22/09,Dave Grossman,On Killing: The Psychological Cost of Learning to Kill in War and Society
PublicAffairs; 1 edition,02/27/18,Radley Balko,The Cadaver King and the Country Dentist: A True Story of Injustice in the American South
DK Eyewitness Travel,09/19/17,DK Travel,DK Eyewitness Travel Guide Ireland
Random House,06/12/18,Ben Rhodes,The World as It Is: A Memoir of the Obama White House
Beacon Press; Gift edition,10/28/14,Viktor E. Frankl,"Man's Search for Meaning, Gift Edition"
City Lights Publishers,01/23/18,Roxanne Dunbar-Ortiz,Loaded: A Disarming History of the Second Amendment (City Lights Open Media)
Simon &amp; Schuster; 1/14/10 edition,02/16/10,Will Durant,The Lessons of History
Simon &amp; Schuster; Reprint edition,05/26/15,Michael Waldman,The Second Amendment: A Biography
Bottom of the Hill Publishing; 1St Edition edition,09/01/10,Miyamoto Musashi,The Book of Five Rings
Random House,03/06/18,Julia Pierpont,The Little Book of Feminist Saints
"Farrar, Straus and Giroux; Later Printing edition",04/24/12,Anne Fadiman,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures (FSG Classics)"
Sarah Crichton Books; 1st edition,08/05/08,Ishmael Beah,A Long Way Gone: Memoirs of a Boy Soldier
Harry N. Abrams; 8.11.2013 edition,10/15/13,Graydon Carter,Vanity Fair 100 Years: From the Jazz Age to Our Age
Anchor; Reprint edition,01/24/17,Jane Mayer,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right
Touchstone; Not for Online ed. edition,09/26/17,Denise Kiernan,"The Last Castle: The Epic Story of Love, Loss, and American Royalty in the Nation’s Largest Home"
Harper Perennial; Revised edition,02/28/17,Christopher R. Browning,Ordinary Men: Reserve Police Battalion 101 and the Final Solution in Poland
Viking; Later Printing edition,06/13/17,Nancy MacLean,Democracy in Chains: The Deep History of the Radical Right's Stealth Plan for America
Touchstone; Revised edition,10/16/07,James W. Loewen,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong
Simon &amp; Schuster,02/27/18,Mark Weinberg,Movie Nights with the Reagans: A Memoir
Pocket Books; Media Tie-In edition,12/19/17,Doug Stanton,12 Strong: The Declassified True Story of the Horse Soldiers
Simon &amp; Schuster,09/26/06,Doris Kearns Goodwin,Team of Rivals: The Political Genius of Abraham Lincoln
Dey Street Books; 1st Edition edition,09/26/17,Jason Fagone,"The Woman Who Smashed Codes: A True Story of Love, Spies, and the Unlikely Heroine Who Outwitted America's Enemies"
Random House,05/08/18,Jon Meacham,The Soul of America: The Battle for Our Better Angels
Picador; 2 edition,03/04/08,Tom Wolfe,The Right Stuff
Simon &amp; Schuster; Reprint edition,05/13/08,Walter Isaacson,Einstein: His Life and Universe
"Windsor Golden Series; Reprint, Subsequent edition",,Rudolph R Windsor,From Babylon to Timbuktu: A History of the Ancient Black Races Including the Black Hebrews
The Penguin Press,04/26/04,Ron Chernow,Alexander Hamilton
