_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publisher,ltable_Time,rtable_Title,rtable_Author,rtable_Publisher,rtable_Time
14258,1320,1900,"Mezcal: The History, Craft & Cocktails of the World's Ultimate Artisanal Spirit",Emma Janzen,Voyageur Press,7/14/2017,"Mezcal: The History, Craft & Cocktails of the World's Ultimate Artisanal Spirit",Emma Janzen,Voyageur Press,7/14/2017
14281,2825,2356,Investing All-in-One For Dummies (For Dummies (Business & Personal Finance)),Eric Tyson,For Dummies; 1 edition,5/1/2017,Investing All-in-One For Dummies,Eric Tyson,Wiley,5/1/2017
14323,1429,1318,A History of the World in 6 Glasses,Tom Standage,"Walker Publishing Company; trade paper, later printing edition",5/16/2006,History of the World in 6 Glasses,Tom Standage,Bloomsbury USA,5/16/2006
14336,1486,1828,The Girls Who Went Away: The Hidden History of Women Who Surrendered Children for Adoption in the Decades  Before Roe v. Wade,Ann Fessler,Penguin Books; Reprint edition,6/26/2007,The Girls Who Went Away: The Hidden History of Women Who Surrendered Children for Adoption in the Decades Before Roe v. Wade,Ann Fessler,Penguin Publishing Group,6/26/2007
14343,2054,909,The Vaccine-Friendly Plan: Dr. Paul's Safe and Effective Approach to Immunity and Health-from Pregnancy Through Your Child's Teen Years,Paul Thomas M.D.,Ballantine Books; 1 edition,8/23/2016,The Vaccine-Friendly Plan: Dr. Paul's Safe and Effective Approach to Immunity and Health-from Pregnancy Through Your Child's Teen Years,Paul Thomas,Random House Publishing Group,8/23/2016
14347,1498,1665,The Sea Wolves: A History of the Vikings,Lars Brownworth,Crux Publishing Ltd,12/24/2014,The Sea Wolves: A History of the Vikings,Lars Brownworth,Crux Publishing Ltd,12/24/2014
14358,1523,1710,Legacy of Ashes: The History of the CIA,Tim Weiner,Anchor; Reprint edition,5/20/2008,Legacy of Ashes: The History of the CIA,Tim Weiner,Knopf Doubleday Publishing Group,5/20/2008
14359,1528,1340,The History of White People,Nell Irvin Painter,W. W. Norton &amp; Company; Reprint edition,4/18/2011,The History of White People,Nell Irvin Painter,"Norton, W. W. & Company, Inc.",4/18/2011
14375,1558,1857,World War II for Kids: A History with 21 Activities (For Kids series),Richard Panchyk,Chicago Review Press; 1 edition,9/1/2002,World War II for Kids: A History with 21 Activities,Richard Panchyk,"Chicago Review Press, Incorporated",9/1/2002
14404,2295,905,"The Starch Solution: Eat the Foods You Love, Regain Your Health, and Lose the Weight for Good!",Mary McDougall,Rodale Books; Reprint edition,6/4/2013,"The Starch Solution: Eat the Foods You Love, Regain Your Health, and Lose the Weight for Good!",John McDougall,"Rodale Press, Inc.",6/4/2013
14448,1828,1020,Medical Medium: Secrets Behind Chronic and Mystery Illness and How to Finally Heal,Anthony William,"Hay House, Inc.; Later Printing Used edition",11/10/2015,Wheat Belly: 10-Day Grain Detox: Reprogram Your Body for Rapid Weight Loss and Amazing Health,William Davis,"Rodale Press, Inc.",11/10/2015
14452,2548,119,All You Need to Know About the Music Business: Ninth Edition,Donald S. Passman,Simon &amp; Schuster; 9 edition,11/10/2015,All You Need to Know about the Music Business: Ninth Edition,Donald S. Passman,Simon & Schuster,11/10/2015
14457,2548,2196,All You Need to Know About the Music Business: Ninth Edition,Donald S. Passman,Simon &amp; Schuster; 9 edition,11/10/2015,All You Need to Know about the Music Business: Ninth Edition,Donald S. Passman,Simon & Schuster,11/10/2015
14458,1656,1635,Brave Companions: Portraits In History,David McCullough,Simon &amp; Schuster; Reprint edition,11/1/1992,Brave Companions: Portraits in History,David McCullough,Simon & Schuster,11/1/1992
14493,1680,1923,The Oregon Trail: An Interactive History Adventure (You Choose: History),Matt Doeden,Capstone Press,8/1/2013,The Oregon Trail: An Interactive History Adventure,Matt Doeden,Capstone Press,8/1/2013
14503,1724,1379,A History of Scotland: Look Behind the Mist and Myth of Scottish History,Neil Oliver,Phoenix; First Paperback Edition edition,3/1/2011,A History Of Scotland,Neil Oliver,Phoenix,3/1/2011
14515,1944,894,"The Big Book of Kombucha: Brewing, Flavoring, and Enjoying the Health Benefits of Fermented Tea",Hannah Crum,"Storey Publishing, LLC",3/8/2016,"The Big Book of Kombucha: Brewing, Flavoring, and Enjoying the Health Benefits of Fermented Tea",Hannah Crum,Storey Books,3/8/2016
14522,1742,3436,The Water Is Wide: A Memoir,Pat Conroy,Dial Press Trade Paperback; Reprint edition,3/26/2002,The Prince of Tides,Pat Conroy,Random House Publishing Group,3/26/2002
