ID,Publisher,Time,Author,Title
3849,New York Review Books,08/30/2016,Eve Babitz,"Slow Days, Fast Company: The World, the Flesh, and L.A."
3850,Knopf Doubleday Publishing Group,05/06/2008,Chuck Palahniuk,Rant: An Oral Biography of Buster Casey
3851,Houghton Mifflin Harcourt,09/11/2012,Justin Torres,We the Animals
3852,Houghton Mifflin Harcourt,04/28/2000,John Updike,The Best American Short Stories of the Century
3853,Penguin Publishing Group,02/03/2004,ZZ Packer,Drinking Coffee Elsewhere
3854,Scribner,02/28/2000,Annie Proulx,Close Range: Wyoming Stories
3855,Knopf Doubleday Publishing Group,07/10/2007,Jennifer Egan,The Keep
3856,Houghton Mifflin Harcourt,04/05/2005,Carson McCullers,The Ballad of the Sad Cafe: And Other Stories
3857,Liveright Publishing Corporation,06/13/2011,Jean Toomer,Cane
3858,Penguin Publishing Group,03/28/1996,Chang-rae Lee,Native Speaker
3859,Knopf Doubleday Publishing Group,01/28/2000,Chitra Banerjee Divakaruni,Sister of My Heart
